feature,module,source_implementation,backend_support,frontend_support,automated_test_evidence,production_read_only_evidence,production_mutation_evidence,deployment_evidence,final_certification_status,limitations,evidence_source
Login + session bootstrap,AUTH,Y,Y,Y,Y (pytest_accounts 252 OK historical; e2e auth/session live),PROVEN (me/ 200 for principal/teacher/student Phase 78),MUTATION_NOT_EXECUTED (logout not performed),PROVEN (cross-origin rewrite login to API works live),READ_ONLY_PROVEN,Post-phase environment session invalidation me/ 403 observed (env not code); 3 of 18 roles proven,PHASE_78_STEP_3/4/5/6/7; TRACE-0001
Logout,AUTH,Y,Y,Y,Y (historical; auth e2e),NOT_RUN (logout intentionally NOT performed to preserve sessions),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Logout is a mutation workflow; deliberately excluded from read-only certification,TRACE-0002; PHASE_78 safety rules
2FA TOTP + backup codes,AUTH,Y,Y,Y,Y (TwoFABackupCodeTests historical),NOT_RUN (no 2FA flow exercised),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,2FA setup/verify requires write; cannot_change_password sessions not chosen,TRACE-0006
Password reset/change,AUTH,Y,Y,P (reset UI partial),Y (historical),NOT_RUN,MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Reset/change are write flows; must_change_password=true sessions not acted on,TRACE-0008/0009
Session management + revoke,AUTH,Y,Y,Y,Y (historical; auth e2e),PROVEN (session established/held 3 roles; persistence across steps),MUTATION_NOT_EXECUTED (revoke not performed),N/A,READ_ONLY_PROVEN,Session-hold proven; revoke/enumerate list not exercised,TRACE-0007; PHASE_78_STEP_3/5/6/7
Google SSO,AUTH,Y,Y,Y,Y (historical),NOT_RUN (provider-dependent),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Requires live Google OAuth provider + consent; external dependency UNVERIFIED,TRACE-0011
Role/permission admin,AUTH,Y,Y,P (API-only many),Y (historical p4 permission suites),NOT_RUN (no super_admin/admin session),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,UI gap for many; mutation; no permitted-role session in Phase 78,TRACE-0012
Account lockout/admin unlock,AUTH,Y,Y,Y,Y (lockout consistency tests historical),NOT_RUN,MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,Write/state-changing; not exercised to avoid disrupting sessions,FUNC-0003
Multi-tenant school provisioning,AUTH+CORE,Y,Y,Y,Y (SchoolProvisioningTests historical),NOT_RUN (org/platform scope),MUTATION_NOT_EXECUTED,N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,single-institution evidence only; provisioning = write platform flow,TRACE-0012
Health endpoint (liveness+db),CORE,Y,Y,P (saas HealthCheckTests),Y (live GET),PROVEN (HTTP 200 + database.ok=true both hosts Phase 76/77/78),NO_MUTATION_CONTROL (read-only probe),PROVEN (live 200 both hosts),WORKING_PROVEN,ONLY production endpoint certified every phase; read-only liveness,TRACE-0114; live GET evidence
Deploy-test marker endpoint,CORE,Y,Y,N,n/a,N (404 both hosts production),MUTATION_NOT_EXECUTED (read-only GET attempted),PROVEN ABSENT (404 both hosts; source route exists config/urls.py:81),BLOCKED (production artifact TPR-001),Deployment-artifact issue not app defect; blocks deployment SHA proof; OPEN,TRACE-0115; PHASE_77_1 I.1
Dashboard overview KPIs,DASH,Y,Y,Y,Y (pytest_dashboard 43 OK historical; e2e live),PROVEN (dashboard renders 3 roles),MUTATION_NOT_EXECUTED (no write controls),N/A,READ_ONLY_PROVEN,"Widget 403 scoped graceful degradation observed (teacher OBS-2)",PHASE_78_STEP_5/6/7; TRACE-0013
Executive dashboard,DASH,Y,Y,Y,Y (historical; e2e stability main=1236),PROVEN (executive_dashboard renders principal),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Principal-only in Phase 78,PHASE_78_STEP_5; TRACE-0015
Campus dashboard,DASH,Y,Y,Y,Y (historical; e2e stability main=373),PROVEN (campus_dashboard multi-campus compare renders),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Principal-only in Phase 78,PHASE_78_STEP_5; TRACE-0024
Student directory CRUD,STUDENTS,Y,Y,Y,Y (pytest_students 39 OK historical; e2e student.spec 24/24),PROVEN (students page renders; student sees OWN profile),MUTATION_NOT_EXECUTED (Add Student detected not clicked),N/A,READ_ONLY_PROVEN,0 records; Create/Update/Delete not executed; record-level payloads unverified,PHASE_78_STEP_5/7; TRACE-0016
Student 360 aggregate,STUDENTS,Y,Y,Y,Y (historical),PROVEN (student self profile aggregates),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,Cross-student 360 param detail routes (/students/:id) UNVERIFIED - no new probes,PHASE_78_STEP_7; TRACE-0017
Student certificates/transcript PDF,STUDENTS,Y,Y,P (PDF unverified),P (PDF output untested),NOT_RUN (PDF generation not triggered),MUTATION_NOT_EXECUTED (issue blocked),N/A,IMPLEMENTED_NOT_PRODUCTION_CERTIFIED,PDF render path never executed; output integrity unverified,TRACE-0018
Admissions + public apply,STUDENTS,Y,Y,Y,Y (historical),PROVEN (admissions page renders principal),MUTATION_NOT_EXECUTED (Apply submission not executed),N/A,READ_ONLY_PROVEN,"Public apply UI reachable; submission write unexecuted",PHASE_78_STEP_5; TRACE-0019/0020
Inquiries pipeline,STUDENTS,Y,Y,N (test gap),Y (FE integrated),PROVEN (admissions/inquiries shell),MUTATION_NOT_EXECUTED,N/A,READ_ONLY_PROVEN,0 records; test gap; write unexecuted,PHASE_78_STEP_5; TRACE-0021
