role,library,reports,visitors,payroll,health,notes
librarian,COD_ONLY,CODE_ONLY,N/A,N/A,/api/library/* returns 404; code fixes exist but not deployed
accountant,N/A,CODE_ONLY,N/A,N/A,/api/reports/ returns 404; code fixes exist but not deployed
guard,N/A,N/A,CODE_ONLY,N/A,/api/visitors/ returns 404; code fixes exist but not deployed
admin_officer,N/A,N/A,N/A,N/A,Deployment blocker prevents any status verification; all code fixes pending deployment
nurse,N/A,N/A,N/A,N/A,Code fix D-005 (NURSE role) exists in git but not deployed to production
hr,N/A,N/A,N/A,N/A,Payroll/HR module code fixes exist but not deployed; deployment blocker
receptionist,N/A,N/A,N/A,N/A,Visitors module code fixes exist but not deployed; deployment blocker
transport,N/A,N/A,N/A,N/A,Transport module not in deployed production; code status unclear
inventory,N/A,N/A,N/A,N/A,Inventory module not in deployed production; code status unclear
hostel,N/A,N/A,N/A,N/A,Hostel module not in deployed production; code status unclear
driver,N/A,N/A,N/A,N/A,Driver module not in deployed production; code status unclear
driver_security,N/A,N/A,N/A,N/A,Discipline module not in deployed production; code status unclear
