Role,Account,Module,Expected_Access,Auth_Me,Menu_Visible,Page_Load,API_Status,Data_Access,Tenant_Scope,Campus_Scope,Authorization_Result,Classification,Evidence_ID,Notes
SUPER_ADMIN,sa_frostfire.txt,Dashboard,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E1,Full access
SUPER_ADMIN,sa_frostfire.txt,Finance,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E2,Full finance including reports
SUPER_ADMIN,sa_frostfire.txt,Students,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E3,
SUPER_ADMIN,sa_frostfire.txt,Teachers,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E4,
SUPER_ADMIN,sa_frostfire.txt,Staff,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E5,
SUPER_ADMIN,sa_frostfire.txt,Library,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E6,Library books/issues accessible
SUPER_ADMIN,sa_frostfire.txt,Attendance,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E7,
SUPER_ADMIN,sa_frostfire.txt,Exams,YES,200,YES,200,200,YES,Global (inst 1),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E8,
SUPER_ADMIN,sa_frostfire.txt,Reports,YES,200,YES,404,404,NO,Global (inst 1),N/A,NOT_FOUND,ROLE_API_ROUTE_DEFECT,E9,Reports endpoint 404
ADMIN,sa_flora.txt,Dashboard,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E10,
ADMIN,sa_flora.txt,Finance,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E11,Finance reports accessible
ADMIN,sa_flora.txt,Students,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E12,
ADMIN,sa_flora.txt,Teachers,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E13,
ADMIN,sa_flora.txt,Staff,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E14,
ADMIN,sa_flora.txt,Library,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E15,Library books accessible
TEACHER,sa_SA-EMP-0001.txt,Dashboard,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E16,
TEACHER,sa_SA-EMP-0001.txt,Teachers,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E17,
TEACHER,sa_SA-EMP-0001.txt,Students,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E18,
TEACHER,sa_SA-EMP-0001.txt,Attendance,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E19,
TEACHER,sa_SA-EMP-0001.txt,Exams,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E20,
TEACHER,sa_SA-EMP-0001.txt,Finance,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E21,Dashboard finance only
TEACHER,sa_SA-EMP-0001.txt,Library,YES,200,YES,200,200,YES,Inst 4 (Springfield),N/A,PASS,ROLE_MODULE_ACCESS_PASS,E22,Library books accessible
STAFF,sa_DI-staff.txt,Dashboard,YES,200,YES,200,200,YES,Inst 1 (Default),Campus 7,PASS,ROLE_MODULE_ACCESS_PASS,E23,
STAFF,sa_DI-staff.txt,Staff,YES,200,YES,200,200,YES,Inst 1 (Default),Campus 7,PASS,ROLE_MODULE_ACCESS_PASS,E24,
