role,canonical_role_source,documented_account_available,production_session_available,authentication_status,dashboard_status,read_only_routes_proven,read_only_modules_proven,mutation_testing_status,authorization_testing_status,idor_status,production_certification_status,blocking_reason,evidence,notes
super_admin,Role enum accounts/models.py lines 11-29 + ROLE_RANK 100,YES (sa_frostfire/sa_frostfire_di; in-VCS secret present NOT used),NO,FAILED_403_SESSION_INVALID (tested Phase 78 Step 3 me/ 403),NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY (historical RoleEscalation/Permission suites),LIMITED (safe authz suite only; no new IDOR probes),NOT_CERTIFIED,IN-VCS superadmin secret policy (never used) + server-side session invalid 403; platform endpoints also require org-level access,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_78_STEP_4_ADMIN_SESSION_EVIDENCE; SECURITY_AUDIT.md R-01,No in-VCS superadmin secret used; do NOT classify as BROKEN (session env limitation)
org_admin,Role enum + ROLE_RANK 90,NO (no account/session reference in Phase 57/58-65/75/77/78 artifacts),NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY,NOT_APPLICABLE,NOT_CERTIFIED,No documented account/session; zero frontend guard references (MISS-002/TPR-005 remainder) - role unusable from UI,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_77_1_FINAL_TRUTH_REPORT (FE_ABSENT),Defined backend; MACRO_DEFINED_NOT_CERTIFIED
head_office,Role enum + ROLE_RANK 85,NO,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY,NOT_APPLICABLE,NOT_CERTIFIED,No documented account/session; zero frontend guard references (MISS-002/TPR-005 remainder),PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_77_1 (FE_ABSENT),Defined backend; NOT_CERTIFIED
admin,Role enum + ROLE_RANK 80,YES (sa_flora.txt csrftoken only; login-page demo admin hint),NO,FAILED_400_LOGIN_REJECTED (demo admin/Admin123! Step 3 POST /api/auth/login/ 400),NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,NOT_RUN,NOT_APPLICABLE,NOT_CERTIFIED,No valid session; Admin user Flora carries canonical role principal (certified there),PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX row admin; PHASE_78_STEP_4,Flora = admin-user assigned principal role -> certified under principal row
principal,Role enum + ROLE_RANK 70,YES (Flora; sa_flora.txt),YES (proven Phase 78 Steps 4-5; me/ 200),PROVEN (me 200 canonical role principal),PROVEN,52,40,MUTATION_NOT_EXECUTED (10 controls detected, none clicked),PASSED (admin.spec + authorization relevant subset live),LIMITED (safe authz suite; object-level not fully certified),READ_ONLY_PROVEN,Post-Phase 78 environment-wide session invalidation (me/ 403 all fixtures + anonymous),PHASE_78_STEP_5_PRINCIPAL_ROUTE_MATRIX.csv (52/57, 5 param UNVERIFIED); STEP_5_MODULE_MATRIX (40); STEP_5_MACHINE_SUMMARY,0 defects; param detail routes UNVERIFIED; invalidation is environment not role
vice_principal,Role enum + ROLE_RANK 65,NO,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY,NOT_APPLICABLE,NOT_CERTIFIED,No documented account/session,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX,Defined backend; NOT_CERTIFIED
campus_admin,Role enum + ROLE_RANK 60,NO,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY,NOT_APPLICABLE,NOT_CERTIFIED,No documented account/session,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX,Campus dashboard proven only via principal session; campus_admin role itself NOT_CERTIFIED
academic,Role enum + ROLE_RANK 55,NO,NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,N/A NOT_EXECUTED,SOURCE_UNIT_TEST_ONLY,NOT_APPLICABLE,NOT_CERTIFIED,No documented account/session,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX,NOT_CERTIFIED
accountant,Role enum + ROLE_RANK 50,YES (DEG-EMP-00031 documented; sa_accountant.txt invalid placeholder),NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,MUTATION_BLOCKED_NOT_EXECUTED (payroll processing),SOURCE_UNIT_TEST_ONLY + historical finance suites,NOT_APPLICABLE,NOT_CERTIFIED,Invalid placeholder fixture + no valid session; finance read paths proven only via principal,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_65 accountant row; PHASE_73 mutation blockers,PARTIAL source/historical evidence; production role NOT_CERTIFIED
hr,Role enum + ROLE_RANK 45,UNKNOWN (sa_hr.txt invalid; no username identifier),NO,NOT_ATTEMPTED,NOT_ATTEMPTED,0,0,MUTATION_BLOCKED_NOT_EXECUTED (payroll),SOURCE_UNIT_TEST_ONLY + historical hr suites,NOT_APPLICABLE,NOT_CERTIFIED,Invalid fixture + no valid session,PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; PHASE_73,HR module read paths proven via principal; role NOT_CERTIFIED
