Route,Backend Role Required,Frontend RequireRoles,Parity Status,Notes
/dashboard/,SUPER_ADMIN ADMIN PRINCIPAL VICE_PRINCIPAL CAMPUS_ADMIN ACADEMIC ACCOUNTANT HR RECEPTIONIST LIBRARIAN GUARD NURSE TEACHER STAFF STUDENT,super_admin admin principal vice_principal campus_admin academic accountant hr receptionist librarian guard nurse teacher staff student,PASS,Frontend includes all backend roles
/library/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC ACCOUNTANT HR LIBRARIAN,super_admin admin principal academic accountant hr librarian,PASS,Frontend includes librarian (fixed in Phase 56B)
/finance/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC ACCOUNTANT HR,super_admin admin principal academic accountant hr,PASS,Frontend matches backend
/staff/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC HR RECEPTIONIST GUARD NURSE,super_admin admin principal academic hr receptionist guard nurse,PASS,Frontend matches backend (staff role uses IsStaffRole)
/visitors/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC HR RECEPTIONIST GUARD,super_admin admin principal academic hr receptionist guard,PASS,Frontend matches backend
/health-records/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC NURSE,super_admin admin principal academic nurse,PASS,Frontend matches backend
/hr/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC HR,super_admin admin principal academic hr,PASS,Frontend matches backend
/payroll/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC ACCOUNTANT HR,super_admin admin principal academic accountant hr,PASS,Frontend matches backend
/transport/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC,super_admin admin principal academic,PASS,Frontend matches backend (no specialized transport role)
/inventory/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC,super_admin admin principal academic,PASS,Frontend matches backend (no specialized inventory role)
/hostel/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC,super_admin admin principal academic,PASS,Frontend matches backend (no specialized hostel role)
/reports/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC ACCOUNTANT HR,super_admin admin principal academic accountant hr,PASS,Frontend matches backend (no librarian in reports nav)
/students/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC TEACHER STAFF STUDENT,super_admin admin principal academic teacher staff student,PASS,Frontend matches backend
/teachers/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC TEACHER,super_admin admin principal academic teacher,PASS,Frontend matches backend
/attendance/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC TEACHER STAFF,super_admin admin principal academic teacher staff,PASS,Frontend matches backend
/exams/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC TEACHER,super_admin admin principal academic teacher,PASS,Frontend matches backend
/report-cards/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC TEACHER STAFF STUDENT,super_admin admin principal academic teacher staff student,PASS,Frontend matches backend
/communication/,SUPER_ADMIN ADMIN PRINCIPAL ACADEMIC HR RECEPTIONIST LIBRARIAN GUARD NURSE TEACHER STAFF STUDENT,super_admin admin principal academic hr receptionist librarian guard nurse teacher staff student,PASS,Frontend includes all specialized roles
/settings/,SUPER_ADMIN ADMIN PRINCIPAL,super_admin admin principal,PASS,Frontend matches backend (admin only)
