PHASE 77 - STEP 8: MODULE DEEP AUDIT
=====================================
Phase: 77
Date: 2026-09-24
Method: Deep audit of every module: frontend page(s), backend app(s), API prefix, models, roles, functions, test coverage, module status, mutation exposure. Module classification follows Phase 75 taxonomy (IMPLEMENTED_UNVERIFIED primary; MUTATION_BLOCKED where writes required; AUTH_TEST_BLOCKED is the environment blocker).

Columns:
module_key | module_name | frontend_pages | backend_apps | api_prefixes | model_count | core_functions | roles | test_files | test_status (historical) | module_status | production_evidence | notes

======================================================================
MODULE DEEP AUDIT
======================================================================

MOD-01|Authentication & Accounts|LoginPage, SettingsPage, TwoFASection, VerifyEmailPage, ProfilePage|apps/accounts|/api/auth/, /api/staff/|17 models (User, EmailVerification, InstitutionMembership, RoleAssignment, StaffProfile, StaffAttendance, StaffAttendanceCorrection, StaffLeave, FailedLoginAttempt, PasswordHistory, UserSession, TwoFABackupCode, StudentTransfer, Permission, RolePermission, UserPermission)|Login, logout, 2FA, session mgmt, password mgmt, roles/permissions, staff mgmt, institution/campus context, tenant switch|ALL|14 files: tests.py, test_access, test_auth_hardening, test_campus_isolation, test_google_sso_2fa, test_lockout_consistency, test_phase45_performance, test_phase_p4_permissions, test_regressions, test_role_security, test_school_auth, test_school_provisioning, test_staff_attendance, test_twofa_backup_verify|pytest_accounts: 252 tests OK; pytest_access: 55 OK|IMPLEMENTED_UNVERIFIED (AUTH_TEST_BLOCKED)|Strongest-tested module (auth hardening, isolation, escalation, provisioning)|Deployment identity R73-P0-001 ties to /api/auth paths

MOD-02|Dashboard|Dashboard, ExecutiveDashboardPage, CampusDashboardPage, HealthPage|apps/dashboard, apps/core|/api/dashboard/*, /api/health/|0 models (computed)|Overview KPIs, attendance/finance/exams widgets, executive KPIs, campus stats, health probe|ALL auth|2 files: tests.py, test_phase8_isolation|pytest_dashboard: 43 OK|IMPLEMENTED_UNVERIFIED (READ_ONLY_PROVEN only for /api/health/)|/api/health/ HTTP 200 + database.ok=true PROVEN on both hosts|Only production-proven functionality in system

MOD-03|Students & Admissions|StudentsPage, Student360Page, AdmissionsPage, AdmissionsApplyPage, AlumniPage, ProfilePage|apps/students, apps/alumni|/api/students/, /api/alumni/|17 models (Student, Enrollment, Guardian, StudentGuardian, Inquiry, AdmissionApplication, AcademicHistory, StudentLifecycleEvent, StudentDocument, CampusTransfer, SectionTransfer, TransferCertificate, StudentLeaveRequest, StudentAlumni, ProgressionRecord; AlumniProfile)|Student CRUD, 360 view, admissions, public apply, inquiries, campus/section transfers, graduation/withdraw, guardians, documents, certificates, alumni|super_admin,admin,principal,academic,accountant,teacher,student,parent,(alumni FE)|6 files: tests.py, tests_profile_queries, test_phase7_documents, test_phase_p4_capabilities, test_student_transfer_f12, test_transfer_certificate_verify; alumni 1 file|pytest_students: 39 OK (1 skip)|IMPLEMENTED_UNVERIFIED|Student life-cycle + transfer isolation tested|Mutation workflows (transfers, graduation, withdrawals) = MUTATION_BLOCKED for prod test

