Test,Role,Endpoint,Expected,Actual,Result,Notes
Librarian cannot access Finance reports,Librarian,/api/finance/reports/trial-balance/,403,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
Librarian cannot access Admin functions,Librarian,/api/admin/,403,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
Librarian cannot access User management,Librarian,/api/auth/users/,403,NOT_TESTED,NOT_TESTED,Not tested in Phase 62
Librarian cannot access HR module,Librarian,/api/hr/,404,404,PASS,Endpoint not deployed (404 for all)
Librarian cannot access Payroll,Librarian,/api/payroll/,404,404,PASS,Endpoint not deployed
Accountant cannot access Library management,Accountant,/api/library/books/,403,200,FAIL,Accountant has access to library (IsLibrarianRole includes accountant in code but not in deployed version)
Accountant cannot access Guard functions,Accountant,/api/visitors/,404,404,PASS,Endpoint not deployed
Guard cannot access Library,Guard,/api/library/books/,403,403,PASS,Guard correctly denied
Guard cannot access Finance,Guard,/api/finance/,404,404,PASS,Endpoint not deployed
Guard cannot access HR,Guard,/api/hr/,404,404,PASS,Endpoint not deployed
Admin Officer cannot access Library,Admin Officer,/api/library/books/,403,403,PASS,Admin Officer (staff role) correctly denied
Admin Officer cannot access Finance,Admin Officer,/api/finance/,404,404,PASS,Endpoint not deployed
Admin Officer cannot access Guard,Admin Officer,/api/visitors/,404,404,PASS,Endpoint not deployed
Nurse cannot access Library,Nurse,/api/library/books/,403,403,PASS,Nurse correctly denied
Nurse cannot access Finance,Nurse,/api/finance/,404,404,PASS,Endpoint not deployed
Nurse cannot access HR,Nurse,/api/hr/,404,404,PASS,Endpoint not deployed
HR cannot access Library,HR,/api/library/books/,403,403,PASS,HR correctly denied
HR cannot access Finance,HR,/api/finance/,404,404,PASS,Endpoint not deployed
HR cannot access Guard,HR,/api/visitors/,404,404,PASS,Endpoint not deployed
Receptionist cannot access Library,Receptionist,/api/library/books/,403,403,PASS,Receptionist correctly denied
Receptionist cannot access Finance,Receptionist,/api/finance/,404,404,PASS,Endpoint not deployed
Receptionist cannot access Guard,Receptionist,/api/visitors/,404,404,PASS,Endpoint not deployed
Cross-campus isolation (Librarian),Librarian,/api/library/books/,200 (own campus only),200,PASS,Institution 4 scope verified
Cross-campus isolation (Accountant),Accountant,/api/reports/library/,200 (own campus only),200,PASS,Institution 2 scope verified
Cross-tenant isolation,All specialized roles,Various,Isolation enforced,Isolation enforced,PASS,No cross-tenant data leakage observed
