evidence_id,test_area,action,expected,actual,status,environment,mutation,notes
BR-001,BROWSER_CAPABILITY,Inventory Playwright installation,"Playwright installed","e2e/node_modules/playwright + @playwright/test ^1.63.0; playwright.cmd --version=1.63.0",PROVEN,Local repo,NO,"Framework PROVEN available"
BR-002,BROWSER_CAPABILITY,Inventory browser binaries,"Browser binary present","System Google Chrome 153.0.8010.53; Microsoft Edge 153.0.4234.48; Playwright Chromium cache chromium-1243 + chromium_headless_shell-1243; Firefox absent",PROVEN,System,NO,"Playwright cache matches v1.63"
BR-003,BROWSER_CAPABILITY,Inventory Selenium/Puppeteer,"Absent unless installed","Selenium/Puppeteer not installed",PROVEN,Local repo,NO,"Not needed; Playwright covers need"
E2E-001,EXISTING_E2E_INFRA,Inventory e2e suite,"Playwright config + specs exist","e2e/playwright.config.js (baseURL default https://perfect-foundation-sms.vercel.app), 10 spec files (auth, super-admin, admin, teacher, student, staff, navigation, authorization, responsive, console-network), helpers/ (wait, session, role, page, modules)",PROVEN,Local repo,NO,"README documents session-based auth; credentials never committed"
E2E-002,EXISTING_E2E_INFRA,Ensure suite targets production without code change,"Target production by default","config baseURL default = production URL; P43_BASE_URL override optional",PROVEN,Local repo,NO,"No application-code change required"
E2E-003,EXISTING_E2E_INFRA,Auth mechanism,"Session-cookie injection","P43_SESSIONS_DIR Netscape cookie files or P43_<ROLE>_SESSIONID env vars; identifiers sa_frostfire/sa_flora/SA-EMP-0001/SA-ST-0001/DI-staff documented (non-secret)",PROVEN,Local repo,NO,"Values external to repo"
CRED-001,CREDENTIALS,Check authorized credential availability,"Legitimate session/credentials present if documented","e2e/.env MISSING; P43_* env vars unset; no session cookie files/dir available; AUTHENTICATED_SESSION_CREDENTIALS_UNAVAILABLE",PROVEN,Environment,NO,"No guessing/creation/permit required per phase rules"
FR-001,FRONTEND_LOAD,Launch real browser and load production root,"HTTP 200 and SPA shell","HTTP 200; final URL https://perfect-foundation-sms.vercel.app/; title 'School Management System'",PROVEN,Production (headless Chromium),NO,"Playwright 1.63.0 headless"
FR-002,FRONTEND_LOAD,Verify login page DOM,"Login UI rendered","(.login-page)=1; (.login-card h1)='School Management'; username+password inputs present; (.login-button)=1; (.topbar)=0",PROVEN,Production (browser),NO,"Unauthenticated state as expected"
FR-003,FRONTEND_LOAD,Verify static assets load,"No app asset failures","No /assets/* failures; JS bundle executed (login rendered)",PROVEN,Production (browser),NO,"Only Google Fonts blocked by CSP (see NET-001)"
SR-001,SPA_ROUTING,Navigate to public login route "/","Login page renders","Root renders .login-page; h1 'School Management'",PROVEN,Production (browser),NO,"Public unauth route"
SR-002,SPA_ROUTING,Navigate to "/login" route,"Redirect to / per HEAD source","HTTP 200; final URL stays /login; no login-card rendered",FAILED,Production (browser),NO,"Deployed /login differs from HEAD (Navigateto /); read-only observation consistent with stale frontend deployment (Step 1); non-blocking, not an app-defect verdict"
SR-003,SPA_ROUTING,Navigate to "/health" SPA route,"SPA route executes","HTTP 200; title present; body shows 'Loading...' (lazy render)",PROVEN,Production (browser),NO,"Router executes named route"
AR-001,API_REWRITE,In-browser GET /api/health/ via SMS host,"200 API JSON through rewrite","HTTP 200 application/json {status:ok,database:{ok:true,...}}; x-vercel-id bom1:bom1:bom1::iad1::...; Server Vercel; payload identical to API host response",PROVEN,Production (browser),NO,"Frontend /api/:path rewrite terminates at API"
AR-002,API_REWRITE,Same-origin fetch from SPA context,"200","fetch('/api/health/?probe=db') -> 200 same body",PROVEN,Production (browser),NO,"Rewrite functional from app code"
AR-003,API_REWRITE,Observe app auth guard request,"API guard responds for unauth session","GET /api/auth/me/ -> 403 (auth guard active) via rewrite",PROVEN,Production (browser),NO,"Expected unauth behavior"
AR-004,API_REWRITE,Direct cross-origin fetch to API host,"App uses same-origin rewrite, not CORS","Direct fetch to perfect-foundation-api.vercel.app -> Failed to fetch (CORS blocked)",PROVEN,Production (browser),NO,"By design; cross-origin direct calls not used by app"
AUTH-001,AUTHENTICATION,Attempt one normal login with authorized credentials,"Login performed with authorized account","NOT ATTEMPTED - no authorized session credentials available",NOT_APPLICABLE,Environment,NO,"Guessing/creating accounts prohibited; AUTHENTICATED_SESSION_CREDENTIALS_UNAVAILABLE"
AUTH-002,AUTHENTICATION,Establish authenticated session,"Session established","NOT ATTEMPTED - blocked on credentials",BLOCKED,Environment,NO,"No workaround manufactured"
PR-001,PROTECTED_ROUTE,Navigate protected route with session,"Protected route reachable","NOT ATTEMPTED - blocked on credentials",BLOCKED,Environment,NO,"Requires authorized session"
NET-001,CONSOLE_NETWORK,Capture console errors,"No unexpected errors","Google Fonts stylesheet blocked by CSP style-src 'self' 'unsafe-inline' (2x); 'Failed to load resource: 403' (unauth /api/auth/me/ guard); no pageerror",PROVEN,Production (browser),NO,"Known minor; fonts fall back; non-blocking"
NET-002,CONSOLE_NETWORK,Capture failed requests,"No app-critical failures","fonts.googleapis.com blocked by CSP; nothing else failed",PROVEN,Production (browser),NO,"Assets and API healthy"
NET-003,CONSOLE_NETWORK,Capture page errors,"None","No pageerror events",PROVEN,Production (browser),NO,"Clean page execution"
SS-001,SCREENSHOT,Capture login page screenshot,"File captured","p78_s2_login.png (83,805 B) in temp dir",PROVEN,Production (browser),NO,"Agent vision unsupported; rendering certified via DOM assertions (FR-002)"
SAFE-001,SAFETY,Verify no mutation/source change,"All safety flags NO","SOURCE_MODIFIED=NO; PRODUCTION_DATA_MUTATED=NO; USERS_CREATED/MODIFIED/DELETED=NO; PERMISSIONS_CHANGED=NO; PASSWORDS_CHANGED=NO; MIGRATIONS_RUN=NO; REDEPLOY_PERFORMED=NO; VERCEL_SETTINGS_CHANGED=NO",PROVEN,Environment,NO,"Read-only only; no secrets printed in artifacts"
R73-001,R73_P0_002,Assess R73-P0-002 status,"Characterize browser automation + auth session","BROWSER_AUTOMATION=AVAILABLE (resolved); AUTHENTICATED_SESSION=STILL_BLOCKED (credentials unavailable)",PROVEN,Environment,NO,"PARTIALLY_RESOLVED overall"
