Role,Designation,Module,Authorization_Model,Expected_Modules,Expected_Route,Dedicated_Page_Exists,Backend_Support,Navigation_Support,Dashboard_Support,Status,Evidence,Notes
SUPER_ADMIN,Platform Super Admin,All,User.role (super_admin),All,/,N/A (global),Full,Full,Full,SUPPORTED,Full access verified,
ADMIN,Institution Admin,All,User.role (admin),All,/admin,Admin dashboard,Full,Full,Full,SUPPORTED,Institution-scoped,
PRINCIPAL,Principal,Admin,User.role (principal),Admin modules,/admin,Admin dashboard,Institution-scoped,Institution,Institution,SUPPORTED,
VICE_PRINCIPAL,Vice Principal,Admin,User.role (vice_principal),Admin modules,/admin,Admin dashboard,Institution-scoped,Institution,Institution,SUPPORTED,
CAMPUS_ADMIN,Campus Admin,Admin,User.role (campus_admin),Campus modules,/campus-dashboard,Campus dashboard,Campus-scoped,Campus,Campus,SUPPORTED,
ACADEMIC,Academic Admin,Academic,User.role (academic),Academic modules,/academics,Academic dashboard,Institution-scoped,Institution,Institution,SUPPORTED,
ACCOUNTANT,Accountant,Finance,User.role (accountant),Finance modules,/finance,NO (uses FinancePage),Full (Finance APIs),Partial (finance nav),None,PARTIALLY_SUPPORTED,FinancePage.jsx exists; route includes accountant; no dedicated page
HR,HR / Staff Officer,HR,User.role (hr),HR modules,/hr,NO (uses HRPage),Full (HR APIs),Partial (hr nav),None,PARTIALLY_SUPPORTED,HRPage.jsx exists; route includes hr; no dedicated page
RECEPTIONIST,Receptionist,Admissions,User.role (receptionist),Admissions/Visitors,/admissions,NO (uses StaffPage),Partial (Admissions/Visitors),Partial (helpdesk/visitors nav),None,NOT_IMPLEMENTED,Admissions/Visitors modules exist; no dedicated page
NURSE,Health,Health,User.role (staff + designation=Nurse),Health records,/health-records,NO (uses HealthPage/StaffPage),Partial (Health module),Partial (health-records nav),None,NOT_IMPLEMENTED,HealthPage.jsx exists; health-records in nav; Nurse account requires school_code
GUARD,Security Guard,Security,User.role (guard),Visitor management,/visitors,NO (uses VisitorsPage/StaffPage),Partial (Visitors module),Partial (visitors nav includes guard),None,NOT_IMPLEMENTED,VisitorsPage.jsx exists; guard role in helpdesk/visitors nav
ADMIN_OFFICER,Administrative Officer,Administration,User.role (staff + designation=Admin Officer),Admin/Staff ops,/staff,NO (uses StaffPage),Partial (Staff module),Partial,None,NOT_IMPLEMENTED,Uses generic Staff page; Admin Officer managed via Staff page
DRIVER,Driver,Transport,User.role (staff + designation=Driver),Transport,/transport,NO (uses TransportPage),Full (Transport module),Full (transport nav),None,NOT_IMPLEMENTED,TransportPage.jsx exists; Driver managed via generic Staff page
DRIVER_SECURITY,Security Guard,Security,User.role (guard),Security/Visitors,/visitors,NO (uses VisitorsPage),Partial (Visitors/Security),Partial (visitors nav),None,NOT_IMPLEMENTED,Security Guard managed via generic Staff page
TEACHER,Teacher,Academics,User.role (teacher),Classes/Students/Attendance/Exams,/teachers,YES (TeachersPage.jsx),Full (Teacher APIs),Full (teacher nav),Full (Teacher dashboard),FULLY_IMPLEMENTED,TeachersPage.jsx exists; dedicated /teachers route; Teacher role in navigation
STUDENT,Student,Academics,User.role (student),Student portal,/students,YES (Student360Page.jsx),Full (Student APIs),Full (student nav),Full (Student dashboard),FULLY_IMPLEMENTED,Student360Page.jsx exists; dedicated /students route; student portal
PARENT,Parent/Guardian,Student Services,User.role (parent),Parent portal,/parent-portal,YES (ParentPortalPage.jsx),Partial (Parent portal),Partial (parent portal nav),None,PARTIAL_IMPLEMENTED,ParentPortalPage.jsx exists; parent portal exists
SUPER_ADMIN,Platform Super Admin,All,User.role (super_admin),All modules,Global,YES (Dashboard),Full,Full,Full,SUPPORTED,Global access to all modules
ADMIN,Institution Admin,All,User.role (admin),All modules,/admin,Admin dashboard,Full,Full,Full,SUPPORTED,Institution-scoped access
PRINCIPAL,Principal,Admin,User.role (principal),Admin modules,/admin,Admin dashboard,Institution-scoped,Institution,Institution,SUPPORTED,
