role,enum_status,parity_notes
NURSE,CODE_ONLY,NURSE added to Role enum in Phase 62 but not deployed to production; deployment blocker prevents live verification
LIBRARIAN,CODE_ONLY,Librarian role not in Role enum; authorization relies on IsLibrarianRole permission class; code-only status
ACCOUNTANT,CODE_ONLY,Accountant role handled via StaffProfile designation; not deployed to production
GUARD,CODE_ONLY,Guard role handling via discipline module; not deployed to production
RECEPACI,CODE_ONLY,Receptionist role not explicitly in Role enum; handled through staff permissions; code-only
HR,CODE_ONLY,HR role handled through StaffProfile and payroll module designation; not deployed
RECEPTIONIST,CODE_ONLY,Receptionist role not explicitly deployed; handled through staff/visitor permissions; code-only
TRANSPORT,NOT_PROVISIONED,Transport role not in Role enum; module not deployed; not provisioned in production
INVENTORY,NOT_PROVISIONED,Inventory role not in Role enum; module not deployed; not provisioned in production
HOSTEL,NOT_PROVISIONED,Hostel role not in Role enum; module not deployed; not provisioned in production
DRIVER,NOT_PROVISIONED,Driver role not in Role enum; module not deployed; not provisioned in production
DRIVER_SECURITY,NOT_PROVISIONED,Driver Security role not in Role enum; module not deployed; not provisioned in production
