module,implementation_status,production_read_only_status,production_working_status,authorization_status,mutation_status,test_status,known_defect,unverified_reason,blocking_reason,evidence,final_status
MOD-01|Authentication & Accounts|IMPLEMENTED|PROVEN (authenticated sessions me/ 200 for principal/teacher/student; login->dashboard boot; logout NOT performed),NOT_PROVEN (no mutation workflows executed),PASSED (admin.spec + authorization subsets live; 403-on-invalid-session verified),MUTATION_NOT_EXECUTED (logout/session-revoke/2FA intentionally not exercised),pytest_accounts 252 OK + pytest_access 55 OK (historical); e2e auth/session specs live,None in Phase 78 (staff invalidation is environment not code),2FA/password-reset/SO flows unverified live; post-Phase-78 environment-wide session invalidation (me/ 403 all fixtures + anonymous),N/A (sessions proven; environment blocker only for post-phase re-verify),PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX; STEP_4/5/6/7 auth evidence; STEP_8_STAFF_BLOCKED,READ_ONLY_PROVEN (principal/teacher/student) + BLOCKED (staff)
MOD-02|Dashboard|IMPLEMENTED|PROVEN (dashboard, executive_dashboard, campus_dashboard render; /api/health/ 200 db.ok=true both hosts),NOT_PROVEN (only /api/health/ live; widgets are computed reads),NOT_APPLICABLE-live (dashboards role-gated; principal rendered),MUTATION_NOT_EXECUTED (no write controls in dashboards),10 e2e specs + stability traces (main=1236 exec, main=373 campus); pytest_dashboard 43 OK (historical),None,Executive/campus aggregates are read-only computed values; chart 403 scoped graceful (OBS-2 teacher),N/A,/api/health/ live 200 both hosts (Phase 76/77/78); STEP_5/6/7 probes,READ_ONLY_PROVEN (+ /api/health/ WORKING_PROVEN)
MOD-03|Students & Admissions|IMPLEMENTED|PROVEN (students, admissions, alumni, profile render; + Add controls detected not clicked; 0 records),NOT_PROVEN (enroll/admit/transfer/graduate/withdraw/workflow mutations not executed),PASSED (student scoped to own profile; teacher 0 students; admin list + scoped),MUTATION_NOT_EXECUTED (Add Student/Add Alumni/Admissions apply detected, not clicked),pytest_students 39 OK + transfer + certificate suites (historical); student.spec 24/24 + authz live,None,Record-level payloads empty ("0 records"); admission apply flow = mutation; param detail routes UNVERIFIED,N/A,PHASE_78_STEP_5/6/7 module matrices; stability probe /students=own profile,READ_ONLY_PROVEN
MOD-04|Teachers|IMPLEMENTED|PROVEN (teachers, assignments render; Add Teacher detected not clicked; teacher self view via Profile),NOT_PROVEN (create/assign mutations not executed),PASSED (teacher self-scope; principal list),MUTATION_NOT_EXECUTED (Add Teacher/assign detected, not clicked),teacher.spec 22/22 + authz 8/8 live; historical teacher regression,None,0 records; assignment creation = mutation,N/A,PHASE_78_STEP_5/6 matrices; teacher.spec,READ_ONLY_PROVEN
MOD-05|Attendance|IMPLEMENTED|PROVEN (attendance page; mark controls detected not clicked),NOT_PROVEN (Mark Attendance/bulk/correction not executed),PASSED (teacher/student role-appropriate views),MUTATION_NOT_EXECUTED (Mark Attendance control present, not clicked),attendance suite + accounts staff attendance (historical); e2e live,None,Device sync (biometric) external UNVERIFIED; records empty,N/A,PHASE_78_STEP_5/6/7 matrices,READ_ONLY_PROVEN
MOD-06|Finance & Payments|IMPLEMENTED|PROVEN (finance page; Fee Structure/Bulk ops detected not clicked; student invoices read 200-empty),NOT_PROVEN (invoice/payment/reversal/gateway mutations not executed),PASSED (principal renders; student finance scoped read 200-empty; 403 apparel not finance),MUTATION_NOT_EXECUTED (Add Fee Structure/Bulk detected, not clicked),pytest_finance 64 OK + aging; e2e probes,None,Record-level payloads empty; gateways need live creds; receipts PDF unverified,N/A,PHASE_78_STEP_5/7; p78 determinism run (invoices/payments 200-empty),READ_ONLY_PROVEN
MOD-07|Exams & Results|IMPLEMENTED|PROVEN (exams page; Enter Marks/New exam detected not clicked),NOT_PROVEN (marks entry/amendments not executed),PASSED (principal/teacher render; student scoped exams read 200-empty),MUTATION_NOT_EXECUTED (New exam/Enter Marks detected, not clicked),pytest_exams2 74 OK (historical; rerun cleared 1 flaky 403!=400); e2e,None,Record-level empty; marks entry = mutation,N/A,PHASE_78_STEP_5/6/7,READ_ONLY_PROVEN
MOD-08|Report Cards|IMPLEMENTED|PROVEN (report_cards page; teacher read/search only),NOT_PROVEN (lock/publish/lifecycle not executed),PASSED (role-gated render),MUTATION_NOT_EXECUTED (lock/publish controls not exercised),pytest_reportcards 21 OK + lifecycle (historical); e2e,None,PDF generation unverified; publish/lock = mutation,N/A,PHASE_78_STEP_5/6 matrices,READ_ONLY_PROVEN
MOD-09|Timetable|IMPLEMENTED|PROVEN (timetable page; student My Timetable 0 periods; teacher My Timetable),NOT_PROVEN (generate/conflict-resolve not executed),PASSED (principal/teacher/student all render own timetable),MUTATION_NOT_EXECUTED (generation not exercised),pytest_timetable 26 OK (historical); e2e live,None,0 periods configured; generation = mutation,N/A,PHASE_78_STEP_5/6/7,READ_ONLY_PROVEN
MOD-10|Events|IMPLEMENTED|PROVEN (events page; + Add Event/Event List render),NOT_PROVEN (create/RSVP not executed),PASSED (role-appropriate rendering),MUTATION_NOT_EXECUTED (Add Event detected student/teacher, not clicked),pytest_events 4 OK (historical); e2e live,None,0 events; RSVP = mutation,N/A,PHASE_78_STEP_5/6/7,READ_ONLY_PROVEN
