role,role_rank,documented_account,account_identifier_available,credential_available,session_fixture_present,fixture_valid,session_available,auth_me_tested,auth_me_http_status,authenticated_identity,returned_primary_role,authentication_status,blocking_reason,evidence_source,contradiction_status,notes
org_admin,90,NONE,NO,NO,NO,N/A,NO,NO,NOT_TESTED,NONE,NONE,NO_DOCUMENTED_ACCOUNT,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE_NO_FRONTEND_GUARD_MISS-002_TPR-005,PHASE_80_STEP_5_org_admin_MACHINE_SUMMARY.txt;backend/apps/accounts/models.py,CLEAR,No account identifier in authoritative sources; no session enumerated; auth_me not presentable.
head_office,85,NONE,NO,NO,NO,N/A,NO,NO,NOT_TESTED,NONE,NONE,NO_DOCUMENTED_ACCOUNT,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE_NO_FRONTEND_GUARD_MISS-002_TPR-005,PHASE_80_STEP_6_head_office_MACHINE_SUMMARY.txt;backend/apps/accounts/models.py,CLEAR,No documented account; no session; auth_me not presentable.
vice_principal,65,NONE,NO,NO,NO,N/A,NO,NO,NOT_TESTED,NONE,NONE,NO_DOCUMENTED_ACCOUNT,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_7_vice_principal_MACHINE_SUMMARY.txt;backend/apps/accounts/models.py,CLEAR,No documented account; no session; auth_me not presentable.
campus_admin,60,NONE,NO,NO,NO,N/A,NO,NO,NOT_TESTED,NONE,NONE,NO_DOCUMENTED_ACCOUNT,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_8_campus_admin_MACHINE_SUMMARY.txt;backend/apps/accounts/models.py,CLEAR,No documented account; no session; auth_me not presentable.
academic,55,NONE,NO,NO,NO,N/A,NO,NO,NOT_TESTED,NONE,NONE,NO_DOCUMENTED_ACCOUNT,NO_DOCUMENTED_ACCOUNT_NO_SESSION_FIXTURE,PHASE_80_STEP_9_academic_MACHINE_SUMMARY.txt;backend/apps/accounts/models.py,CLEAR,No documented account; no session; auth_me not presentable.
accountant,50,DEG-EMP-00031,YES,YES_DOCUMENTED_NOT_USED,YES,NO,NO,NO,NOT_TESTED,NONE,NONE,DOCUMENTED_ACCOUNT_NO_SESSION,NO_VALID_SESSION_FIXTURE_PRESENT,sa_accountant.txt;PHASE_80_STEP_10_accountant_MACHINE_SUMMARY.txt;PHASE_81_AUTHENTICATION_EVIDENCE_MATRIX.csv;operator_credentials_block,CON-82-03,Documented account + credential documented-not-used; repo-root sa_accountant.txt is NON-Netscape placeholder isNetscape=False; P43_SESSIONS_DIR has no fixture.
hr,45,hr.gvc,YES_DOCUMENTED,NO,YES,NO,NO,NO,NOT_TESTED,NONE,NONE,DOCUMENTED_ACCOUNT_NO_CREDENTIAL,NO_VALID_SESSION_FIXTURE_PRESENT,sa_hr.txt;PHASE_80_STEP_11_hr_MACHINE_SUMMARY.txt;PHASE_62_CANONICAL_ROLE_CONTRACT.md;PHASE_62_PROVISIONING_CERTIFICATION.csv;backend/apps/accounts/models.py,CON-82-04,Phase 62 documents hr.gvc account + PASS but repo-root sa_hr.txt is NON-Netscape placeholder; no credential documented; NOT reproducible as auth.
receptionist,40,reception.gvc,YES_DOCUMENTED,NO,YES,NO,NO,NO,NOT_TESTED,NONE,NONE,DOCUMENTED_ACCOUNT_NO_CREDENTIAL,NO_VALID_SESSION_FIXTURE_PRESENT,sa_receptionist.txt;PHASE_80_STEP_12_receptionist_MACHINE_SUMMARY.txt;PHASE_62_CANONICAL_ROLE_CONTRACT.md;PHASE_62_PROVISIONING_CERTIFICATION.csv;backend/apps/accounts/models.py,CON-82-04,Phase 62 documents reception.gvc account + PASS but repo-root sa_receptionist.txt is NON-Netscape placeholder; no credential documented; NOT reproducible as auth.
librarian,35,SA-EMP-00011,YES,YES_DOCUMENTED_NOT_USED,YES,NO,NO,NO,NOT_TESTED,NONE,NONE,DOCUMENTED_ACCOUNT_NO_SESSION,NO_VALID_SESSION_FIXTURE_PRESENT,sa_librarian.txt;PHASE_80_STEP_13_librarian_MACHINE_SUMMARY.txt;PHASE_81_AUTHENTICATION_EVIDENCE_MATRIX.csv;operator_credentials_block,CON-82-03,Documented account + credential documented-not-used; repo-root sa_librarian.txt is NON-Netscape placeholder; P43_SESSIONS_DIR has no fixture.
guard,30,SA-EMP-00031,YES,YES_DOCUMENTED_NOT_USED,YES,NO,NO,NO,NOT_TESTED,NONE,NONE,DOCUMENTED_ACCOUNT_NO_SESSION,NO_VALID_SESSION_FIXTURE_PRESENT,sa_guard.txt;PHASE_81_AUTHENTICATION_EVIDENCE_MATRIX.csv;operator_credentials_block;PHASE_62_PROVISIONING_CERTIFICATION.csv,CON-82-03,No dedicated PHASE_80 step file for guard; documented account + credential documented-not-used; repo-root sa_guard.txt is NON-Netscape placeholder; P43_SESSIONS_DIR has no fixture.
