GATE,STATUS,EVIDENCE,NOTES
SOURCE_READINESS,READY,"Django check PASS (1 pre-existing auth.W004); reports imports/URLs load (171 patterns); collectstatic PASS (157 files); 13/13 missing views restored in e59c180","Pre-existing auth.W004 warning only; no source changes made in Phase 96.3"
MIGRATION_0028_SOURCE_IDENTITY,NOT_IDENTIFIED,"No authoritative app+filename+lineage identifies an expected accounts 0028; Django 'would generate' a filename is not identity","Baseline 7357c18 and HEAD both max accounts at 0027"
MIGRATION_0028_SOURCE_PRESENT,NO,"No accounts 0028* file exists in source or any commit; git log -S empty","schools 0028_schoolsettings_theme_color.py is a different app"
MIGRATION_0028_EXPECTED,UNKNOWN,"No authoritative deployment/source lineage establishes expectedness","makemigrations --check / model definitions / migration number do NOT establish expectedness"
MIGRATION_0028_GRAPH_STATUS,VALID,"MigrationLoader loads OK; accounts leaf = 0027; no broken dependencies",""
MIGRATION_0028_LOCAL_STATUS,UNKNOWN,"No concrete identity to have an applied state for","Local dev Postgres has no accounts migrations applied (evidence only)"
MIGRATION_0028_TARGET_STATUS,UNKNOWN,"No authorized target DB inspection this phase","Never inferred from local state or model drift"
MIGRATION_0028_MODEL_DRIFT,PENDING_MODEL_CHANGES,"makemigrations --check FAIL: wants AlterField role choices on roleassignment/rolepermission","Field-choices drift introduced by baseline 7357c18 + a5d254d"
MIGRATION_MODEL_DRIFT,PENDING_MODEL_CHANGES,"makemigrations --check FAIL","Independent of target status and classification"
MIGRATION_0028_CLASSIFICATION,INSUFFICIENT_EVIDENCE,"precedence: identity NOT_IDENTIFIED + drift PENDING_MODEL_CHANGES -> INSUFFICIENT_EVIDENCE",""
MIGRATION_GATE,UNKNOWN,"No concrete expected migration identity; drift alone is insufficient evidence",""
REDIS_REQUIRED,NO,"base.py falls back to LocMemCache when REDIS_URL/UPSTASH_REDIS_URL unset; django_ratelimit commented out","redis==5.0.0 in requirements.txt unused at runtime without env var"
REDIS_AVAILABILITY,NOT_PROVISIONED,"No REDIS_URL/UPSTASH_REDIS_URL in perfect-foundation-api production env",""
REDIS_GATE,READY,"Redis is optional; graceful LocMemCache fallback; no runtime hard dependency",""
VERCEL_PROJECT_EXISTS,YES,"read-only `vercel project ls` lists perfect-foundation-api (canonical), perfect-foundation-sms (frontend), others",""
VERCEL_CANONICAL_DEPLOYED,READY,"inspect live URL -> READY production deployment 12h old serving perfect-foundation-api.vercel.app","LIVE 200 /api/health/ database ok"
VERCEL_FRONTEND_ALIAS,LIVE,"https://perfect-foundation-sms.vercel.app returns 200 School Management System",""
VERCEL_LOCAL_LINK_MISMATCH,YES,"backend/.vercel/project.json points to project 'backend' not canonical perfect-foundation-api","Deployment from backend dir would target wrong project"
VERCEL_QUOTA,UNKNOWN,"Cannot verify without a deploy; deploy forbidden in Phase 96.3","Read-only API calls succeeded"
VERCEL_PROJECT_GATE,READY,"Canonical project exists, has READY deployment, live alias, full production env",""
PRODUCTION_ENV_REQUIRED,PRESENT,"DATABASE_URL, SECRET_KEY/DJANGO_SECRET_KEY, CORS_ALLOWED_ORIGINS, DJANGO_CSRF_TRUSTED_ORIGINS, DJANGO_ALLOWED_HOSTS, DJANGO_SUPERUSER_*, MIGRATION_SECRET, DB_* all present (names only)",""
PRODUCTION_ENV_REDIS,ABSENT,"No REDIS_URL/UPSTASH_REDIS_URL (graceful, not blocking)",""
PRODUCTION_ENV_GATE,READY,"Required vars present; no secrets read/printed",""
FIVE_ROLE_COUNSELLOR,BLOCKED,"No seed path; only models/permissions/test_regressions",""
FIVE_ROLE_ADMINISTRATIVE_OFFICER,BLOCKED,"No seed path",""
FIVE_ROLE_NURSE,BLOCKED,"No seed path",""
FIVE_ROLE_LIBRARIAN,PROVISIONABLE,"demo_seed/base.py creates librarian.*@example.test",""
FIVE_ROLE_GUARD,PROVISIONABLE,"demo_seed/base.py creates guard.*@example.test",""
FIVE_ROLE_ACCOUNTS_GATE,BLOCKED,"3/5 roles have no safe provisioning path; no accounts created in this phase",""
E2E_GATE,BLOCKED,"Five-role E2E cannot run: accounts not provisionable for COUNSELLOR/ADMINISTRATIVE_OFFICER/NURSE",""
STALE_CANONICAL_REFERENCE,PRESENT,"production.py:35 _VERCEL_DEFAULT_ORIGINS still lists perfect-foundation-backend.vercel.app","base.py CSRF_TRUSTED_ORIGINS already lists canonical; docs/render.yaml also stale"
DEPLOYMENT_GATE,UNKNOWN,"No deploy performed (forbidden this phase); quota UNKNOWN; live alias serves pre-e59c180 build","MIGRATION_GATE is UNKNOWN, not the deployment blocker"
OVERALL_GATE,BLOCKED,"Independent verified blockers: FIVE_ROLE_ACCOUNTS_GATE=BLOCKED; VERCEL_QUOTA=UNKNOWN; VERCEL_LOCAL_LINK_MISMATCH; unresolved model drift (makemigrations --check FAIL)","Migration classification is INSUFFICIENT_EVIDENCE/UNKNOWN, NOT used as the block reason"
