role,viewport,pass/fail,observations
SUPER_ADMIN,1440×900,Pass,full navigation, tables render, no horizontal overflow, sidebar functional
SUPER_ADMIN,768×1024,Pass,drawer menu opens, tables reflow, forms functional
SUPER_ADMIN,390×844,Pass,burger menu, single-column layout, touch targets adequate
ADMIN,1440×900,Pass,full navigation, tables render, no horizontal overflow, sidebar functional
ADMIN,768×1024,Pass,drawer menu opens, tables reflow, forms functional
ADMIN,390×844,Pass,burger menu, single-column layout, touch targets adequate
STAFF,1440×900,Pass,full navigation, dashboard overview renders with data (students 6 active etc), tables render
STAFF,768×1024,Pass,drawer menu opens, dashboard overview reflows, data persists
STAFF,390×844,Pass,burger menu, dashboard overview single-column, data persists
STUDENT,1440×900,Pass,own data renders, navigation functional, sidebar accessible
STUDENT,768×1024,Pass,own data renders, dashboard finance shows own invoices
STUDENT,390×844,Pass,own data renders, single-column layout, hamburger menu
CROSS-ROLE,1440×900,Pass,consistent navigation across all role sessions, no auth leaks
CROSS-ROLE,768×1024,Pass,drawer functional across all roles, no state corruption
CROSS-ROLE,390×844,Pass,burger menu functional across all roles, no state corruption
Responsive,topbar-nav-measure,Fixed,previous defect where topbar exceeded viewport at narrow widths is resolved; navigation collapses appropriately at all breakpoints
