item,type,scope,reason,impact,evidence,status,next_safe_action
staff role authentication/post-phase session,BLOCKED,Role staff,Environment-wide session invalidation observed post-Phase 78: /api/auth/me/ 403 for all 4 fixtures (flora/SA-EMP-0001/SA-ST-0001/DI-staff) + anonymous baseline across 4 cycles (+3 min); not fixture/parsing/spec (Steps 5-7 same mechanism returned 200),Staff certification cannot proceed; app boots to login (correct UI); NOT classified BROKEN,PHASE_78_STEP_8_STAFF_BLOCKED; p78_recheck.cjs (403 all cycles),BLOCKED,Re-obtain valid sessions (user-mediated login) then re-run staff read-only certification
Production deployment identity (commit SHA),BLOCKED,Deployment,No Vercel CLI/dashboard access; /api/deploy-test/ 404 on both hosts; DEPLOYMENT_IDENTITY_UNKNOWN,Deployment revision match cannot be certified; DEPLOYMENT_IDENTITY_CERTIFIED=NO,DEPLOYMENT_REVISION_MATCH = even stronger: production artifact (missing deploy_version, missing deploy-test route) provably predates local HEAD content,BLOCKED,Resolve TPR-001 + obtain Vercel access to read deployment SHAs
/api/deploy-test/ HTTP 404 (both hosts),BLOCKED,Deployment artifact (TPR-001),Deployed artifact omits deploy-test route while serving /api/health/ on same prefix; SOURCE_ROUTE_EXISTS=true (config/urls.py:81),Blocks deployment-marker identity proof; blocks all revision certifications,N/A (documented; not retried in Phase 79 - read-only),BLOCKED,Authorized redeploy of pure-function DeployTestView returning build-time commit env var
Exact deployed revision of frontend app (sms-settings vs current source),BLOCKED,Deployment,Frontend/API revision match unproven due to TPR-001/TPR-002,FE/API certified-pair status unknown,N/A,BOUNDED_UNKNOWABLE (no Vercel access),Documented as deployment-bound unknown
Object-level IDOR full certification,UNVERIFIED,Authorization,Safe authz suite executed (allowed render + denied 403 + scoped 200-empty) for principal/teacher/student; object-level (cross-record) probing deliberately NOT performed (no new IDOR probes authorized),OBJECT_LEVEL_IDOR_FULLY_CERTIFIED=NO; only role-level self-scope proven,PHASE_78_STEP_5/6/7 authorization subsets; backend role/permission/isolation suites (historical green),UNVERIFIED,Authorized object-level test suite on a dedicated sandbox
Parameterized record detail routes (e.g. /students/:id, /profile/student/:id),UNVERIFIED,Read access,Phase 78 route matrices flag N param routes as UNVERIFIED (student 2; teacher 3; principal 5) - not probed to avoid cross-record access risk,Individual record payloads unverified; authorized deny/allow at record level not proven,PHASE_78 route matrices + STEP_7 (guard excludes student -> source IMPLEMENTED deny),UNVERIFIED,Explicit user authorization to probe one curated record per role
Record-level payload semantics (0-record vs "Loading data..." vs populated),UNVERIFIED,Data integrity,All Phase 78 datasets empty (0 records) or "Loading data..." transient; populated-record rendering never observed live,Populated-record UI behavior not certified,PHASE_78 module matrices notes (hostel "Loading data...", 0 records everywhere),UNVERIFIED,Seed a sandbox institution with test records (write/mutation) then re-probe
Mutation workflows for all write features (26 of 34 modules),UNVERIFIED,Mutation,Mutation workflows intentionally NOT executed (read-only certification scope; MUTATION_BLOCKED policies PHASE_73; 0 mutation workflows executed),MUTATION_WORKFLOWS_EXECUTED=0; MUTATION_CERTIFICATION=NO; no WRITE/POST/PATCH/DELETE proven production-safe,PHASE_78 module matrices (all MUTATION_NOT_EXECUTED); PHASE_73 mutation-block policy,UNVERIFIED,Authorized sandbox institution + data-restore strategy for live mutation certification
CSRF/SSO token cross-origin non-GET flows (TPR-011),UNVERIFIED,Architecture,Frontend (sms.vercel.app) -> API (api.vercel.app) cross-origin rewrite proven for GET/auth; write-path CSRF cookie flow never exercised because no mutations run,Write-path auth could surprise; TPR-011 question remains open,N/A (no non-GET executed in Phase 79),UNVERIFIED,Execute a sandboxed write to prove CSRF flow; or unify origins
Logout / session revoke behavior,UNVERIFIED,Session,Logout intentionally NOT performed (safety rule: LOGOUT_PERFORMED=NO),Logout UX/behavior unverified,N/A,UNVERIFIED,Exercise on a disposable session only
2FA TOTP setup + verify,UNVERIFIED,Authentication,2FA flows not exercised (would require enable/disable writes + external TOTP app),2FA feature production-untested,N/A,UNVERIFIED,Authorized 2FA challenge on a disposable account
Password reset/change flows,UNVERIFIED,Authentication,Reset/change not exercised; must_change_password=true sessions not acted on,Password lifecycle UX unverified,N/A,UNVERIFIED,Exercise on disposable session
External provider integrations (Google SSO, payment gateways, SMS/email broadcast, AI provider, biometric/GPS, live GPS pings),UNVERIFIED,External dependency,All require live third-party provider creds/devices never available in read-only phases,Provider-backed features all IMPLEMENTED_NOT_PRODUCTION_CERTIFIED or UNVERIFIED,PHASE_79_FINAL_FEATURE_CERTIFICATION_MATRIX (gateways/SMS/email/SSO/AI/GPS/biometric rows),UNVERIFIED,Providers must be provisioned in a test environment with sandbox creds
PDF generation outputs (certificates, receipts, payslips, report cards),UNVERIFIED,Output verification,PDF endpoints never invoked (most involve writes); bytes/render correctness untested,Pdf-based features READ_ONLY on list view only; PDF bytes unverified,Feature matrix rows (certificates, receipts, payslips, report-cards),UNVERIFIED,Generate PDFs in sandbox from known records and validate output
