evidence_id,role,test_area,action,expected,actual,status,http_status,mutation,notes
AS-001,admin,MECHANISM,Inspect documented session mechanism,"P43_SESSIONS_DIR cookie file sa_flora.txt (ADMIN) or P43_ADMIN_SESSIONID","e2e/helpers/session.js maps ADMIN->sa_flora.txt; P43_SESSIONS_DIR runtime dir = temp/opencode (Phase 43 report); P43_ADMIN_SESSIONID env UNSET; sa_flora.txt present with sessionid+csrftoken (names only)",PROVEN,,NO,"Documented mechanism followed; no new mechanism invented"
AS-002,admin,AUTHENTICATION,GET /api/auth/me/ with injected session,"HTTP 200 + identity","HTTP 200; username Flora, primary_role principal, institution Springfield Academy, must_change_password false",PROVEN,200,NO,"Server-valid authenticated session; canonical admin maps to Flora per project+PHASE_57"
AS-003,admin,FRONTEND_AUTH,Open production frontend with session,"Browser recognizes session; no login redirect","isLoginPage=false; topbar present; sidebar 41 links; account labeled 'Flora Principal'; API init calls 200",PROVEN,200,NO,"Authenticated shell rendered"
AS-004,admin,ADMIN_DASHBOARD,Navigate to home landing with session,"Dashboard renders; expected nav; no auth redirect; API succeed","HTTP 200; 'HOME / DASHBOARD Dashboard Overview Welcome back' rendered with topbar/sidebar; logout control present",PROVEN,200,NO,"Read-only verification"
AS-005,admin,ADMIN_DASHBOARD,API calls during authenticated load,"Major API calls succeed","/api/auth/me/ (x2)=200; /api/auth/active-institution/=200; /api/auth/active-campus/=200; /api/schools/modules/current/=200; /api/communication/notifications/=200",PROVEN,200,NO,"All authenticated boot calls 200"
AS-006,admin,ADMIN_DASHBOARD,SPA route /dashboard,"Renders dashboard content","SPA 'Page not found' inside authenticated shell (route not defined in this build; home '/' is the dashboard)",PROVEN,200,NO,"Informational; not a defect for this step"
AS-007,admin,CONSOLE_NETWORK,Capture console errors,"No unexpected errors","Google Fonts CSP block (2x) only; no page errors; no failed API/asset requests",PROVEN,,NO,"Pre-existing known minor"
AS-008,admin,LOGOUT,Verify logout,"Logout control present","button.logout-button present; NOT clicked to preserve the sole authorized session",NOT_ATTEMPTED,,NO,"POST /api/auth/logout/ would invalidate the only authorized session; deferred to a step with fresh session"
AS-009,admin,SAFETY,Confirm no mutation,"All safety flags NO","SOURCE_MODIFIED=NO; PRODUCTION_DATA_MUTATED=NO; USERS_CREATED/MODIFIED/DELETED=NO; PERMISSIONS_CHANGED=NO; PASSWORDS_CHANGED=NO; MIGRATIONS_RUN=NO; REDEPLOY_PERFORMED=NO; VERCEL_SETTINGS_CHANGED=NO",PROVEN,,NO,"Read-only only; no secrets printed"
AS-010,admin,ROLE_MAPPING,Identify account role,"Documented admin account","me/ returns primary_role=principal for Flora; canonical admin represented by Flora per documented mechanism and PHASE_57",PROVEN,200,NO,"Recorded without inferring a separate 'admin' role that does not exist in this deployment"
