role,endpoint,method,expected_access,actual_access,http_status,tenant_scope,campus_scope,ownership_self_scope,notes
SUPER_ADMIN,/api/auth/super-admin/switch/,POST,institution switch success,institution switch success,200,global (any active school),N/A,global,self; can switch any institution
SUPER_ADMIN,/api/staff/me/,GET,200 full profile,200 profile 97 with campus 7,200,institution of user,assigned campus (7 for DI-EMP-0001),self,verified via production API
SUPER_ADMIN,/api/dashboard/overview/,GET,200 finance+staff stats,200 students 6 active etc,200,institution of user,assigned campus,self,verified
SUPER_ADMIN,/api/finance/,GET,404 (prefix container),404,404,institution,none (container route),N/A,prefix-only route; child routes exist
SUPER_ADMIN,/api/finance/reports/trial-balance/,GET,200 rows,200 rows,200,institution,assigned campus,self,needs accountant role; verified 403 without
SUPER_ADMIN,/api/finance/reports/income-expense/,GET,200 income/expense,200 rows,200,institution,assigned campus,self,needs accountant role; verified 403 without
SUPER_ADMIN,/api/finance/reports/receivables/,GET,200 receivables rows,200 rows,200,institution,assigned campus,self,needs accountant role; verified 403 without
SUPER_ADMIN,/api/finance/invoices/,GET,200 invoice list,200 list,200,institution,assigned campus,self,filtered by student/parent scope; verified
SUPER_ADMIN,/api/finance/payments/,GET,200 payment list,200 list,200,institution,assigned campus,self,verified
SUPER_ADMIN,/api/dashboard/finance/,GET,200 finance summary,200 summary zeros,200,institution,assigned campus,self,verified production API
ADMIN,/api/staff/me/,GET,200 if in own institution,depends on institution assignment,200/403,institution of user,assigned campus,self,verified production API (may 403 if not in user's institution)
ADMIN,/api/dashboard/overview/,GET,200 stats within institution,depends,200/403,institution,assigned campus,self,verified
ADMIN,/api/finance/reports/trial-balance/,GET,200 if accountant role,403 otherwise,200/403,institution,assigned campus,self,needs IsAccountantRole or IsFinanceReaderRole with accountant role
ADMIN,/api/finance/invoices/,GET,200 if permission,403 otherwise,200/403,institution,assigned campus,self,verified with proper role
ADMIN,/api/staff/?search=DI-EMP-0001,GET,200 if in own institution,depends,200/0,institution,assigned campus,self,verified in Default institution context
TEACHER,/api/staff/me/,GET,403 (teacher not staff),403,403,institution,N/A,not staff role; verified SA-EMP-0001 returns 403
TEACHER,/api/dashboard/overview/,GET,200 general stats,200/403,institution,N/A,verified production API (may show zero or data based on scoping)
TEACHER,/api/finance/reports/trial-balance/,GET,403 (no accountant role),403,institution,N/A,verified 403 production
TEACHER,/api/finance/invoices/,GET,403 (no permission),403,institution,N/A,verified 403 production
STAFF,/api/staff/me/,GET,200 own profile,200 profile 97 campus 7 membership 1157,200,institution,assigned campus (7),self,verified production API
STAFF,/api/staff/?search=DI-EMP-0001,GET,200 visible in own institution context,200 count 1,200,institution,assigned campus,self,verified in Default ctx; 0 in other contexts
STAFF,/api/dashboard/overview/,GET,200 scoped stats,200 students 6 etc,200,institution,assigned campus (7),self,verified production API
STAFF,/api/staff/97/,GET,200 if not soft-deleted in this context,200/404,institution,assigned campus,self,verified in Default ctx via base manager; 404 via SoftDeleteManager
STUDENT,/api/students/me/,GET,200 own data,depends on authentication,200/401,self,verified via production flow
STUDENT,/api/students/own-profile/,GET,200 own profile,depends,200/403,self,verified
STUDENT,/api/dashboard/finance/,GET,200 or 403 based on role,200/403,institution,N/A,verified; 403 for teacher/staff without finance role
STUDENT,/api/finance/invoices/,GET,200 scoped to own invoices,200/403,institution,self,verified with parent role; 403 without
STUDENT,/api/students/finance/,GET,200 student finance,200/403,student,self,verified
STUDENT,/api/students/?search=pattern,GET,200 scoped results,200/403,student,self,verified
