Gate,Requirement,Status,Blocking Reason,Evidence,Owner Action
G1,Source baseline,READY,NONE,HEAD 7357c18; clean working tree; Phase 84 verified,NONE
G2,Deployment platform,READY,NONE,Vercel + Render documented; vercel.json, render.yaml present,NONE
G3,Deployment access,BLOCKED,BR-005: No authorized Vercel/Render/GitHub credentials available. HEAD 7357c18 cannot be deployed.,Provide authorized Vercel/Render/GitHub access
G4,GitHub/CI access,BLOCKED,BR-005: No GitHub push creds; .github/workflows/ empty,Provide GitHub push or CI/CD pipeline
G5,Production target,READY,NONE,Vercel/Render/Neon documented in deployment.md,NONE
G6,Migration path,BLOCKED,BR-008: Cannot execute or verify migration 0016 because deployment access is blocked.,Deploy first; migration runs via startup.sh
G7,Production verification,BLOCKED,BR-009: No production verification access because deployment is blocked.,Deploy first; then verify endpoints
G8,Counsellor account,BLOCKED,BR-010: No legitimate counsellor test account or authorized provisioning path.,Owner must provide/authorize account
G9,Guard account,BLOCKED,BR-011: No legitimate guard test account or authorized provisioning path.,Owner must provide/authorize account
G10,Nurse account,BLOCKED,BR-012: Historical SA-EMP-0002 only; no valid session.,Owner must provide/authorize account
G11,Admin Officer account,BLOCKED,BR-013: Historical SA-EMP-00041 forced to staff; no valid session.,Owner must provide/authorize account
G12,Librarian account,BLOCKED,BR-014: Historical SA-EMP-00011 only; no valid session.,Owner must provide/authorize account
G13,Authentication testability,BLOCKED,BR-015: No legitimate accounts/sessions; deployment blocked.,Deploy + provision accounts first
G14,Authorization testability,BLOCKED,BR-016: No deployed app + no authenticated sessions.,Deploy + accounts first
G15,Evidence capture,READY,NONE,Markdown/CSV/summary ready; no secrets,NONE
