module,student_access_expected,student_access_observed,read_only_status,mutation_status,api_status,frontend_status,evidence,notes
dashboard,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + probe main=375,"Welcome back; dashboard renders after cold boot"
students,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + stability probe main=153,"Renders student's OWN profile; no cross-student data accessed"
profile,YES,YES,PROVEN,NO_MUTATION_CONTROL,200,PASS,student.spec + stability probe main=559,"Arthur Pendragon profile; 403 branding graceful"
homework,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + stability probe main=111,"0 items; read-only list"
lms,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + stability probe main=111,"0 courses available"
timetable,YES,YES,PROVEN,NO_MUTATION_CONTROL,200,PASS,student.spec + stability probe main=179,"0 periods configured"
messages,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + probe main=149,"New Message detected, not clicked; 0 messages"
announcements,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + stability probe main=174,"New Announcement control visible to student, NOT clicked (OBS-3)"
events,YES,YES,PROVEN,MUTATION_NOT_EXECUTED,200,PASS,student.spec + probe main=114,"Event List; 0 events"
ai_assistant,YES,YES,PROVEN,NO_MUTATION_CONTROL,200,PASS,student.spec + probe main=191,"No guard route; read-only assistant UI"
