designation,department,authorization_model,expected_modules,expected_route,dedicated_page_exists,backend_support,navigation_support,dashboard_support,status,evidence,notes
Librarian,Library,role=librarian + designation=Librarian,Library (books, issues, reservations, reports),/library,YES (LibraryPage.jsx),FULL (CRUD books/issues/reservations/copies),PARTIAL (navigation allows super_admin/admin/principal/academic/accountant/hr; MISSING librarian),NONE (uses Library page),PARTIAL_IMPLEMENTED,"LibraryPage.jsx exists; backend has full CRUD; IsLibrarianRole permission includes librarian role; but frontend route/navigation MISSING librarian role; Librarian account has wrong role (staff) and no session due to must_change_password","Library page exists and is functional; backend permissions include librarian role; BUT frontend route/navigation MISSING 'librarian' role - only allows super_admin/admin/principal/academic/accountant/hr; Librarian account provisioned with wrong role (staff) and must_change_password blocks session"
Accountant,Accounts,role=accountant,Finance (dashboard, reports, categories, structures, budgets),/finance,NO (uses FinancePage.jsx),FULL (Finance reports, categories, structures, budgets),PARTIAL (navigation allows super_admin/admin/principal/academic/accountant; MISSING accountant in some routes),NONE (uses Finance page),PARTIAL_IMPLEMENTED,"FinancePage.jsx exists; backend has full finance; IsAccountantRole includes accountant; frontend routes include accountant role","Finance module works for accountant role; Accountant test account has no session due to must_change_password"
HR,Human Resources,role=hr,HR (staff, employees, leave, payroll read),/hr,NO (uses HRPage.jsx),FULL (Staff, Leave, Payroll reports),PARTIAL (navigation allows super_admin/admin/principal/academic/hr; MISSING in some routes),NONE (uses HR page),PARTIAL_IMPLEMENTED,"HRPage.jsx exists; backend has HR reports; IsStaffRole includes hr","HR module works for hr role; No test account provisioned"
Receptionist,Student Services,role=receptionist,Admissions, Visitors, Communications,/admissions or /visitors,NO (uses StaffPage.jsx/AdmissionsPage.jsx),PARTIAL (Admissions, Visitors modules exist),PARTIAL (navigation includes receptionist in helpdesk/visitors),NONE,NOT_IMPLEMENTED,"No dedicated Receptionist page; Admissions/Visitors modules exist; receptionist role in helpdesk/visitors navigation","No test account provisioned; uses generic Staff page for management"
Nurse,Health,role=staff + designation=Nurse,Health (health records),/health,NO (uses HealthPage.jsx/StaffPage.jsx),PARTIAL (Health module exists),PARTIAL (navigation has health-records),NONE,NOT_IMPLEMENTED,"HealthPage.jsx exists; health-records in navigation; Nurse account requires school_code to login","Nurse account requires school_code to login (shared username across institutions); uses staff role"
HR Officer,Human Resources,role=hr,HR (staff, leave, payroll),/hr,NO (uses HRPage.jsx),FULL (HR reports, leave, payroll),PARTIAL,HR page exists but no dedicated HR officer page","HRPage.jsx exists; hr role has access to HR module"
Administrative Officer,Administration,role=staff + designation=Administrative Officer,Administration, Documents,/staff or /documents,NO (uses StaffPage.jsx/DocumentsPage.jsx),PARTIAL (Staff, Documents modules),PARTIAL,NONE,NOT_IMPLEMENTED,"Uses generic Staff page; Documents module exists"
Guard,Security,role=guard,Security, Visitors,/visitors,NO (uses StaffPage.jsx/VisitorsPage.jsx),PARTIAL (Visitors module),PARTIAL (guard in helpdesk/visitors navigation),NONE,NOT_IMPLEMENTED,"guard role in helpdesk/visitors navigation; Guard account has no session"
Driver,Transport,role=staff + designation=Driver,Transport,/transport,NO (uses TransportPage.jsx),FULL (Transport module),PARTIAL (transport navigation),NONE,NOT_IMPLEMENTED,"TransportPage.jsx exists; Driver managed via generic Staff page"
Driver (Security),Security,role=guard,Security,/visitors,NO (uses StaffPage.jsx),PARTIAL,Visitors navigation includes guard,NONE,NOT_IMPLEMENTED,"Security Guard managed via generic Staff page"
Teacher,Academics,role=teacher,Classes, Students, Attendance, Exams, Homework, Timetable,/teachers,YES (TeachersPage.jsx),FULL (Teachers API, classes, assignments),FULL (Teachers page, navigation, dashboard),FULL (Teacher dashboard),FULLY_IMPLEMENTED,"TeachersPage.jsx exists; dedicated /teachers route; Teacher role in navigation/routes; dedicated Teacher dashboard","Teacher has fully dedicated page, route, and API - distinct from generic Staff"
Student,Academics,role=student,Student Portal (dashboard, classes, attendance, exams, fees),/students,YES (StudentsPage.jsx),FULL (Students API, portal),FULL (Students page, navigation, dashboard),FULL (Student dashboard),FULLY_IMPLEMENTED,"StudentsPage.jsx exists; dedicated /students route; Student role in navigation/routes; dedicated Student portal","Student has fully dedicated page, route, and portal - distinct from generic Staff"
Parent,Student Services,role=parent,Parent Portal (children's info),/parent-portal,NO (uses ParentPortalPage.jsx),PARTIAL (Parent portal exists),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"ParentPortalPage.jsx exists; Parent role exists but limited testing"
Super Admin,Platform,role=super_admin,All modules,Global,YES (Dashboard),FULL (All modules),FULL (All navigation),FULL (Super Admin dashboard),FULLY_IMPLEMENTED,"Platform Super Admin has global access to all modules"
Admin/Principal,Administration,role=admin/principal,All school modules,/school-specific,YES (Dashboard),FULL (All school modules),FULL (School admin navigation),FULL (Admin dashboard),FULLY_IMPLEMENTED,"Admin/Principal have full school-scoped access"
Campus Admin,Administration,role=campus_admin,Campus-scoped modules,/campus-specific,NO (uses generic pages),FULL (Campus-scoped),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"Campus Admin has campus-scoped access but no dedicated page"
Vice Principal,Administration,role=vice_principal,School modules,/school-specific,NO (uses generic pages),FULL (School-scoped),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"Vice Principal has school-scoped access but no dedicated page"
Academic,Academics,role=academic,Academic modules,/academic,NO (uses generic pages),FULL (Academic-scoped),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"Academic role has academic-scoped access but no dedicated page"
Org Admin,Organization,role=org_admin,Multi-school modules,/org-specific,NO (uses generic pages),FULL (Org-scoped),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"Org Admin has multi-school access but no dedicated page"
Head Office,Organization,role=head_office,Multi-school modules,/head-office,NO (uses generic pages),FULL (Org-scoped),PARTIAL,NONE,PARTIAL_IMPLEMENTED,"Head Office has multi-school access but no dedicated page"
