role,role_rank,canonical_role_source,documented_account_available,credential_available,session_fixture,fixture_format_valid,fixture_parseable,auth_checked,auth_result,me_username_identity,primary_role_observed,classification,phase80_reconciliation,blocker_reason,evidence
super_admin,100,Role enum accounts/models.py lines 11-29 + ROLE_RANK 100,YES,YES_DOCUMENTED_NOT_USED,sa_frostfire.txt (P43_SESSIONS_DIR),Netscape 7-field,YES,YES_LIVE,HTTP 200,FrostFire,super_admin,AUTHENTICATED_PROVEN,READ_ONLY_PROVEN,NONE,GET /api/auth/me/ 2026-09-24 HTTP 200 username=FrostFire primary_role=super_admin must_change_password=False; sa_frostfire_di.txt also 200; PHASE_80_STEP_4
admin,80,Role enum + ROLE_RANK 80,YES,YES_DOCUMENTED_NOT_USED,sa_flora.txt,YES,YES,YES_LIVE,HTTP 200,Flora,principal,ABSORBED_INTO_PRINCIPAL,ABSORBED_INTO_PRINCIPAL,Admin user Flora authenticates with canonical role principal (no independent admin session); certified under principal row,GET /api/auth/me/ 2026-09-24 HTTP 200 username=Flora primary_role=principal; PHASE_78_STEP_3/5; PHASE_79; PHASE_80_FINAL
org_admin,90,Role enum + ROLE_RANK 90,NO,NO,NO_FIXTURE,N/A,N/A,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented account/session/credential; zero FE guard refs (MISS-002 TPR-005),PHASE_78_STEP_3; PHASE_80_STEP_5; PHASE_77_1
head_office,85,Role enum + ROLE_RANK 85,NO,NO,NO_FIXTURE,N/A,N/A,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented account/session/credential; zero FE guard refs (MISS-002 TPR-005),PHASE_78_STEP_3; PHASE_80_STEP_6; PHASE_77_1
principal,70,Role enum + ROLE_RANK 70,YES,YES_DOCUMENTED_NOT_USED,sa_flora.txt,YES,YES,YES_LIVE,HTTP 200,Flora,principal,AUTHENTICATED_PROVEN,READ_ONLY_PROVEN,NONE,GET /api/auth/me/ 2026-09-24 HTTP 200 username=Flora primary_role=principal must_change_password=False; PHASE_78_STEP_5
vice_principal,65,Role enum + ROLE_RANK 65,NO,NO,NO_FIXTURE,N/A,N/A,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented account/session/credential,PHASE_78_STEP_3; PHASE_80_STEP_7
campus_admin,60,Role enum + ROLE_RANK 60,NO,NO,NO_FIXTURE,N/A,N/A,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented account/session/credential; campus dashboard proven only via principal session,PHASE_78_STEP_3; PHASE_80_STEP_8
academic,55,Role enum + ROLE_RANK 55,NO,NO,NO_FIXTURE,N/A,N/A,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented account/session/credential,PHASE_78_STEP_3; PHASE_80_STEP_9
accountant,50,Role enum + ROLE_RANK 50,YES,YES_DOCUMENTED_NOT_USED,sa_accountant.txt (repo root),NOT_NETSCAPE (key=value pair),NO,NO,NOT_ATTEMPTED,N/A,N/A,DOCUMENTED_ACCOUNT_ONLY,BLOCKED,DEG-EMP-00031 documented (credential supplied to operator, NOT used); repo-root sa_accountant.txt is invalid placeholder (32-char non-hex SID, non-Netscape) => no valid session,PHASE_78_STEP_3; PHASE_80_STEP_10; PHASE_55/57; PHASE_81 fixture inventory
hr,45,Role enum + ROLE_RANK 45,UNKNOWN,NO,sa_hr.txt (repo root),NOT_NETSCAPE,NO,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented username identifier; repo-root sa_hr.txt invalid placeholder (non-Netscape, non-hex SID),PHASE_78_STEP_3; PHASE_80_STEP_11
receptionist,40,Role enum + ROLE_RANK 40,UNKNOWN,NO,sa_receptionist.txt (repo root),NOT_NETSCAPE,NO,NO,NOT_ATTEMPTED,N/A,N/A,NO_DOCUMENTED_ACCOUNT,BLOCKED,No documented username identifier; repo-root sa_receptionist.txt invalid placeholder,PHASE_78_STEP_3; PHASE_80_STEP_12
