endpoint,http_status,authenticated_status,role_access,notes
/api/reports/,404,N/A,None,Reports base endpoint not deployed in production
/api/reports/library/,403,pending,Accountant,Reports library returns 403 (permission issue in stale deployment)
/api/reports/library/inventory/,404,pending,Accountant,Inventory report not deployed
/api/reports/library/available/,404,pending,Accountant,Available report not deployed
/api/reports/library/issued/,404,pending,Accountant,Issued report not deployed
/api/reports/library/returned/,404,pending,Accountant,Returned report not deployed
/api/reports/library/overdue/,404,pending,Accountant,Overdue report not deployed
/api/reports/library/fines/,404,pending,Accountant,Fines report not deployed
/api/reports/library/activity/,404,pending,Accountant,Activity report not deployed
/api/reports/library/most-borrowed/,404,pending,Accountant,Most borrowed report not deployed
/api/reports/library/student-history/,404,pending,Accountant,Student history report not deployed
/api/reports/library/teacher-history/,404,pending,Accountant,Teacher history report not deployed
/api/auth/me/,200,pending,Various,Auth me endpoint response varies by session
