evidence_id,category,target,method,expected,observed,status,classification,source,notes
E-1,documentation_review,PHASE_78_STEP_8_STAFF_BLOCKED.md,Read existing evidence,Staff blocked by environment-wide session invalidation; identity DI-EMP-0001/staff/must_change_password=true/display But,Documented: me/ 200 once then 403 all 4 fixtures + anonymous across 4 cycles; BLOCKED not FAILED,VERIFIED,STAFF_BLOCKED_prior,PHASE_78_STEP_8_STAFF_BLOCKED.md,Historical baseline; no historical file modified
E-2,documentation_review,PHASE_79_FINAL_SYSTEM_CERTIFICATION.md,Read existing evidence,Certification consolidated; staff carried as BLOCKED,Deployment unknown + staff BLOCKED (env, not code),VERIFIED,STAFF_BLOCKED_prior,PHASE_79_FINAL_SYSTEM_CERTIFICATION.md,Read-only consolidation phase
E-3,documentation_review,PHASE_79_FINAL_ROLE_CERTIFICATION_MATRIX.csv,Read existing evidence,Staff role NOT certified,staff=BLOCKED,VERIFIED,STAFF_BLOCKED_prior,PHASE_79_FINAL_ROLE_CERTIFICATION_MATRIX.csv,Read-only
E-4,documentation_review,PHASE_79_FINAL_UNVERIFIED_BLOCKED_REGISTER.csv + TPR.csv,Read existing evidence,Staff block row + TPR context,Staff block row; TPR-001/002/003 open,VERIFIED,STAFF_BLOCKED_prior,PHASE_79_FINAL_UNVERIFIED_BLOCKED_REGISTER.csv,Read-only
E-5,documentation_review,PHASE_80_STEP_1_DEPLOYMENT_IDENTITY_RESOLUTION.md,Read existing evidence,Deployment identity resolved,API=dbb2d95c.../frontend=56e4b21b...; deploy-test 404 STALE_DEPLOYMENT_PREDATES_ROUTE,VERIFIED,DEPLOYMENT_MISMATCH,PHASE_80_STEP_1_*,Served by stale revisions; not repaired in this step
E-6,documentation_review,e2e/README.md + helpers/session.js + page.js,Read existing evidence,Documented session mechanism,Netscape cookie files under P43_SESSIONS_DIR or P43_<ROLE>_SESSIONID; fixture names map to roles,VERIFIED,SESSION_MECHANISM,e2e/README.md; helpers/session.js; helpers/page.js,P43_SESSIONS_DIR=C:\Users\Ryuk\AppData\Local\Temp\opencode per Phase 43
E-7,documentation_review,PHASE_78_STEP_4_ADMIN_SESSION_REPORT.md,Read existing evidence,Parser caveat documented,sessionid rows may be #HttpOnly_-prefixed; correct parsing required,VERIFIED,SESSION_PARSING,PHASE_78_STEP_4_ADMIN_SESSION_REPORT.md,Applied corrected parsing in this step
E-8,fixture_inventory,sa_DI-staff.txt (P43_SESSIONS_DIR),Metadata only read (no value printed),Documented staff fixture present with sessionid+csrftoken,cookie rows: sessionid=True csrftoken=True; names only; values not read out,VERIFIED,STAFF_FIXTURE_PRESENT,Local temp dir inventory,Staff/DI-EMP-0001 fixture
E-9,fixture_inventory,sa_flora.txt / sa_SA-EMP-0001.txt / sa_SA-ST-0001.txt (P43_SESSIONS_DIR),Metadata only read (no value printed),Other documented fixtures present,Each contains sessionid+csrftoken rows; presence-only inventory,VERIFIED,FIXTURE_PRESENCE,e2e/helpers/session.js role map,Not probed for auth in this step (step rule: only staff)
E-10,anonymous_baseline,https://perfect-foundation-sms.vercel.app/,GET no cookies,200 HTML,200 text/html final=root,VERIFIED,EXPECTED_ANON,Direct HTTP probe 2026-09-24,Frontend available
E-11,anonymous_baseline,https://perfect-foundation-api.vercel.app/api/health/,GET no cookies,200 JSON db ok,200 {"status":"ok","database":{"ok":true,"error":null}}; NO deploy_version key,VERIFIED,EXPECTED_ANON,Direct HTTP probe,Consistent with stale revision (no deploy_version)
E-12,anonymous_baseline,https://perfect-foundation-sms.vercel.app/api/health/,GET no cookies (rewritten to API),200 JSON db ok,200 identical JSON,VERIFIED,EXPECTED_ANON,Direct HTTP probe via frontend host,Rewrite operational
