blocker_id,type,category,description,affected_roles_modules,current_status,evidence,resolution/notes
ENV-1,deployment,production stale,Production API serves dbb2d95c (Phase 53-era); production frontend serves 56e4b21b (Phase 64-era); local/remote HEAD 4306570d never won production alias (latest deploys ERRORED). /api/deploy-test/ 404 = STALE_DEPLOYMENT_PREDATES_ROUTE,API (perfect-foundation-api) + frontend (perfect-foundation-sms),BLOCKED,PHASE_80_STEP_1_DEPLOYMENT_IDENTITY_* (E-001..E-018),Release-demo/HEAD certification blocked until successful redeploy of d540ab2..HEAD; requires non-read-only phase
ENV-2,environmental,auth-state,Post-Phase-78 environment-wide session invalidation: all fixtures + anonymous returned 403; root cause never confirmed. Sessions again valid in Phase 80 Steps 2-4,all roles,RESOLVED (operational),PHASE_78_STEP_8_STAFF_BLOCKED.md; PHASE_80_STEP_2; STEP_3; STEP_4,Classification remains environment (not code/certification defect); root cause still formally unknown
AUTH-1,session,no account,No documented account/session/fixture exists for these roles,org_admin; head_office; vice_principal; campus_admin; academic; parent,BLOCKED,PHASE_80_STEP_5/6/7/8/9/15_MACHINE_SUMMARY; PHASE_78_STEP_3_ROLE_ACCOUNT_MATRIX,Requires authorized account provisioning outside read-only scope
AUTH-2,session,invalid fixture,Documented usernames exist but sa_*.txt fixtures are invalid placeholders and sessions unavailable; credentials never guessed,accountant (DEG-EMP-00031); librarian (SA-EMP-00011); guard (SA-EMP-00031); nurse (SA-EMP-0002); hr (unknown id); receptionist (unknown id),BLOCKED,PHASE_80_STEP_10/11/12/13/14_MACHINE_SUMMARY; PHASE_78_STEP_3,Requires valid authorized session fixtures; no credential guessing
AUTH-3,secret,in-VCS secret,In-VCS super_admin secret files (sa_frostfire*.txt) flagged R-01; policy says never used; active certification used the now-valid documented session,super_admin,OPERATIONAL (certification used valid session),SECURITY_AUDIT.md R-01; PHASE_79_FINAL_SYSTEM_CERTIFICATION,Removal of in-VCS secret requires non-read-only phase
DEP-1,deployment,release-blocking,R73-P0-001 / TPR-001 stale-deployment blocker (env/dep duplicate of ENV-1),all,BLOCKED,PHASE_80_STEP_1; PHASE_74/75 deployment identity files,Must not be re-reported as a separate defect
CODE-1,code-gap,frontend guard,Frontend /health-records route guard omits nurse (UI lockout) - confirmed code gap (not environment),nurse; MOD-22 Health Records,OPEN,PHASE_77_TECHNICAL_PROBLEM_REGISTER TPR-004; PHASE_79 module row,Remediation requires source change (non-read-only)
CODE-2,code-gap,frontend guard,org_admin/head_office have no frontend route-guard surface (MISS-002 / TPR-005 remainder) - roles unusable from UI,org_admin; head_office,OPEN,PHASE_77_1_FINAL_TRUTH_REPORT; PHASE_79 role rows,Backend defined; not certifiable from FE until guard present
CODE-3,code-gap,backend route,LMS duplicate/overriding question routes; dead QuizQuestionDeleteView; DELETE still served by first-registered view,MOD-25 LMS,OPEN,PHASE_77 TPR-008; PHASE_79 module row,Quality/route defect; source change required
CODE-4,code-gap,duplicate urls,Duplicate hr urlpatterns (quality),MOD-17 HR & Staff,OPEN,PHASE_77 TPR-007/015; PHASE_79 module row,Quality only; source change required
CODE-5,code-gap,url collision,Report url-name collisions (quality),MOD-18 Reports & Analytics,OPEN,PHASE_77 TPR-014; PHASE_79 module row,Quality only; source change required
MUT-1,boundary,mutation,All mutation workflows MUTATION_NOT_EXECUTED under read-only certification; PHASE_73 MUTATION_BLOCKED items for payroll processing, library issue/return/reservations, branding upload, report export/import, hostel allocation, LMS submission,all write workflows,BLOCKED (by contract),PHASE_78/80 step mutation ledgers; PHASE_73 blockers,Requires mutation-authorized phase
IDOR-1,boundary,object-level IDOR,Object-level record isolation NOT certified; only safe authorization suites executed (scoped 403-or-empty verified),all roles,UNVERIFIED,PHASE_78_STEP_7 authorization notes; Phase 80 step notes,New IDOR probes prohibited in read-only scope
UNV-1,unverified,module,Modules IMPLEMENTED but no permitted-role production session in Phase 78/80,MOD-12 Audit & Compliance; MOD-19 Search; MOD-27 White Label; MOD-32 SaaS Platform,IMPLEMENTED_UNVERIFIED,PHASE_79 module matrix rows,Requires super_admin/admin/org_admin session evidence
UNV-2,unverified,parameter routes,Parameterized detail routes not fabricated; left UNVERIFIED,principal (5); teacher (3); student (2),UNVERIFIED,PHASE_78_STEP_5/6/7_ROUTE_MATRIX.csv,Would require valid IDs and authorization to enumerate
UNV-3,unverified,external providers,External provider dependencies not verified: SMS/email, GPS devices, LLM provider, PDF generation, payment gateways,related modules,UNVERIFIED,PHASE_79 module matrix; PHASE_80 step notes,External systems outside read-only certification
UNV-4,unverified,parent portal,MOD-26 Portals parent portal not reached (no parent session),parent portlets,UNVERIFIED,PHASE_79 MOD-26 row,Blocked by AUTH-1 parent
