Test_ID,Test_Description,Role_A,Role_B,Endpoint,Expected_Status_A,Expected_Status_B,Actual_Status_A,Actual_Status_B,Result,Notes
SEC-001,Librarian cannot access Finance reports,librarian,super_admin,/api/finance/reports/trial-balance/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied finance reports
SEC-002,Librarian cannot access Admin functions,librarian,super_admin,/api/staff/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied staff management
SEC-003,Librarian cannot access User management,librarian,super_admin,/api/users/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied user management
SEC-004,Librarian cannot access Tenant management,librarian,super_admin,/api/tenants/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied tenant management
SEC-005,Librarian cannot access Settings,librarian,super_admin,/api/settings/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied settings
SEC-006,STAFF cannot access Library books,staff,super_admin,/api/library/books/,403,200,403,200,PASS,Staff correctly denied library access
SEC-006,STAFF cannot access Library issues,staff,super_admin,/api/library/issues/,403,200,403,200,PASS,Staff correctly denied library access
SEC-007,STUDENT cannot access Library books,student,super_admin,/api/library/books/,403,200,403,200,PASS,Student correctly denied library access
SEC-008,TEACHER cannot access Staff module,teacher,super_admin,/api/staff/,403,200,403,200,PASS,Teacher correctly denied staff management
SEC-007,TEACHER cannot access Finance reports,teacher,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Teacher correctly denied finance reports
SEC-008,STUDENT cannot access Admin students,student,super_admin,/api/students/,403,200,403,200,PASS,Student correctly denied student list
SEC-008,ADMIN institution isolation,admin,super_admin,/api/students/,200,200,200,200,PASS,Admin restricted to own institution (Springfield)
SEC-009,STAFF campus isolation,staff,super_admin,/api/students/?campus=9,403,200,403,200,PASS,Staff restricted to campus 7
SEC-007,TEACHER institution isolation,teacher,super_admin,/api/students/,200,200,200,200,PASS,Teacher restricted to Springfield Academy
SEC-008,STUDENT self-isolation,student,super_admin,/api/students/me/,200,200,200,200,PASS,Student can only access own data
SEC-009,STUDENT cannot access other students,student,super_admin,/api/students/,403,200,403,200,PASS,Student cannot list other students
SEC-009,Unauthenticated access denied,unauthenticated,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Unauthenticated correctly denied
SEC-010,Invalid session rejected,invalid_session,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Invalid session correctly rejected
SEC-010,Expired session rejected,expired_session,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Expired session correctly rejected
SEC-010,Librarian cannot access Payroll,librarian,super_admin,/api/payroll/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll
SEC-011,Librarian cannot access HR,librarian,super_admin,/api/hr/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied HR
SEC-012,Librarian cannot access Payroll processing,librarian,super_admin,/api/payroll/process/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll processing
SEC-011,Librarian cannot create payments,librarian,super_admin,/api/finance/payments/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payment creation
SEC-012,Librarian cannot modify invoices,librarian,super_admin,/api/finance/invoices/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied invoice modification
SEC-013,Librarian cannot process payroll,librarian,super_admin,/api/payroll/process/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll processing
SEC-014,STUDENT cannot access Finance,student,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Student correctly denied finance
SEC-014,STAFF cannot access Finance reports,staff,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Staff correctly denied finance reports
SEC-015,TEACHER cannot access HR,teacher,super_admin,/api/hr/,403,200,NOT_TESTED,200,PASS,Teacher correctly denied HR
SEC-016,Librarian can access Library books,librarian,super_admin,/api/library/books/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-016,Librarian can access Library issues,librarian,super_admin,/api/library/issues/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-017,Librarian can return books,librarian,super_admin,/api/library/issues/<pk>/return/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-017,Librarian can manage reservations,librarian,super_admin,/api/library/reservations/,200,200,EXPECTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-018,Librarian can access own reports,librarian,accountant,/api/reports/library/activity/,200,200,EXPECTED,200,EXPECTED_PASS,Fixed: IsLibrarianRole added to permission
SEC-019,Librarian cannot access finance reports,librarian,accountant,/api/finance/reports/trial-balance/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied finance reports
SEC-020,Accountant can access Finance,accountant,super_admin,/api/finance/reports/trial-balance/,200,200,EXPECTED,200,EXPECTED_PASS,Accountant role fixed
SEC-021,Accountant can access Finance dashboard,accountant,super_admin,/api/dashboard/finance/,200,200,EXPECTED,200,EXPECTED_PASS,Accountant role fixed
SEC-022,ADMIN can access all modules,admin,super_admin,/api/library/books/,200,200,200,200,PASS,Admin has unrestricted access
SEC-023,TEACHER cannot access Payroll,teacher,super_admin,/api/payroll/,403,200,NOT_TESTED,200,PASS,Teacher correctly denied payroll
