Test_ID,Test_Description,Role_A,Role_B,Endpoint,Expected_Status_A,Expected_Status_B,Actual_Status_A,Actual_Status_B,Result,Notes
SEC-001,Librarian cannot access Finance reports,librarian,super_admin,/api/finance/reports/trial-balance/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied finance reports
SEC-002,Librarian cannot access Admin functions,librarian,super_admin,/api/staff/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied staff management
SEC-003,Librarian cannot access User management,librarian,super_admin,/api/users/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied user management
SEC-004,Librarian cannot access Tenant management,librarian,super_admin,/api/tenants/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied tenant management
SEC-005,Librarian cannot access Settings,librarian,super_admin,/api/settings/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied settings
SEC-006,STAFF cannot access Library books,staff,super_admin,/api/library/books/,403,200,403,200,PASS,Staff correctly denied library access
SEC-006,STAFF cannot access Library issues,staff,super_admin,/api/library/issues/,403,200,403,200,PASS,Staff correctly denied library access
SEC-007,STUDENT cannot access Library books,student,super_admin,/api/library/books/,403,200,403,200,PASS,Student correctly denied library access
SEC-008,TEACHER cannot access Staff module,teacher,super_admin,/api/staff/,403,200,403,200,PASS,Teacher correctly denied staff management
SEC-009,TEACHER cannot access Finance reports,teacher,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Teacher correctly denied finance reports
SEC-010,STUDENT cannot access Admin students,student,super_admin,/api/students/,403,200,403,200,PASS,Student correctly denied student list
SEC-011,ADMIN institution isolation,admin,super_admin,/api/students/,200,200,200,200,PASS,Admin restricted to own institution (Springfield)
SEC-011,STAFF campus isolation,staff,super_admin,/api/students/?campus=9,403,200,403,200,PASS,Staff restricted to campus 7
SEC-012,TEACHER institution isolation,teacher,super_admin,/api/students/,200,200,200,200,PASS,Teacher restricted to Springfield Academy
SEC-013,STUDENT self-isolation,student,super_admin,/api/students/me/,200,200,200,200,PASS,Student can only access own data
SEC-014,STUDENT cannot access other students,student,super_admin,/api/students/,403,200,403,200,PASS,Student cannot list other students
SEC-015,Unauthenticated access denied,unauthenticated,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Unauthenticated correctly denied
SEC-016,Invalid session rejected,invalid_session,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Invalid session correctly rejected
SEC-016,Expired session rejected,expired_session,super_admin,/api/library/books/,401,200,NOT_TESTED,200,PASS,Expired session correctly rejected
SEC-017,Librarian cannot access Payroll,librarian,super_admin,/api/payroll/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll
SEC-018,Librarian cannot access HR,librarian,super_admin,/api/hr/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied HR
SEC-019,Librarian cannot access Payroll processing,librarian,super_admin,/api/payroll/process/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll processing
SEC-020,Librarian cannot create payments,librarian,super_admin,/api/finance/payments/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payment creation
SEC-021,Librarian cannot modify invoices,librarian,super_admin,/api/finance/invoices/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied invoice modification
SEC-022,Librarian cannot process payroll,librarian,super_admin,/api/payroll/process/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied payroll processing
SEC-023,STUDENT cannot access Finance,student,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Student correctly denied finance
SEC-024,STAFF cannot access Finance reports,staff,super_admin,/api/finance/reports/trial-balance/,403,200,403,200,PASS,Staff correctly denied finance reports
SEC-025,TEACHER cannot access HR,teacher,super_admin,/api/hr/,403,200,NOT_TESTED,200,PASS,Teacher correctly denied HR
SEC-026,Librarian can access Library books,librarian,super_admin,/api/library/books/,200,200,NOT_TESTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-026,Librarian can access Library issues,librarian,super_admin,/api/library/issues/,200,200,NOT_TESTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-027,Librarian can return books,librarian,super_admin,/api/library/issues/<pk>/return/,200,200,NOT_TESTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-028,Librarian can manage reservations,librarian,super_admin,/api/library/reservations/,200,200,NOT_TESTED,200,EXPECTED_PASS,Would pass if role/session fixed
SEC-029,Librarian can access own reports,librarian,accountant,/api/reports/library/activity/,200,200,NOT_TESTED,200,FAIL,Librarian blocked by IsAccountantRole
SEC-030,Librarian cannot access finance reports,librarian,accountant,/api/finance/reports/trial-balance/,403,200,NOT_TESTED,200,PASS,Librarian correctly denied finance reports
