MECHANISM,ROLES_CREATED,SCOPE,DATA_CREATED,PERMISSIONS_CREATED,PASSWORD_HANDLING,REQUIRES_ADMIN,REQUIRES_SECRET,REQUIRES_PRODUCTION_DB,SAFE_FOR_PRODUCTION,REVERSIBLE,PREVIOUSLY_USED,DOCUMENTED,OWNER_AUTHORIZATION_REQUIRED
"seed_demo_data / demo_seed (--all, DEMO-EDU)",LIBRARIAN GUARD per-campus (base users); STAFF for all support staff; TEACHER STUDENT PARENT SUPER_ADMIN ORG_ADMIN CAMPUS_ADMIN PRINCIPAL ACCOUNTANT HR RECEPTIONIST ACADEMIC,"New school ""Demo Education Group"" (code DEMO-EDU), 5 campuses (GVC CSC BFC KHC EXC); isolated from school id 1","~997 users + school/campuses/years/terms/classes/subjects/students/guardians/staff/hr/finance/library/transport/inventory/etc.","Seeds granular Permission catalog + ROLE_GRANTS role-param grants (if catalog empty); librarian/guard grants included; counsellor/administrative_officer/nurse grants ABSENT","Deterministic shared DEMO_PASSWORD (precomputed PBKDF2 hash, reset on every run)","No (but refused when DEBUG off unless --allow-prod flag passed)","No (only used with explicit --allow-prod override)","Yes (production run requires --allow-prod)","UNSAFE for five-role-only provisioning (over-provisions ~997 records + permission catalog/grants; cannot target exactly five accounts)",YES (delete DEMO-EDU school + accounts); no cleanup command exists,Yes for base librarian/guard role repair in phase57 narrative on demo records,Yes (help text + demo_data/DEMO_DATA_COVERAGE.md),YES
"demo_seed base_users (part 1) -- allow-prod",LIBRARIAN GUARD per campus (gvc.admin principal accountant hr reception librarian{5} guard{5} clerk academic demo_superadmin demo_orgadmin = 47 users),"DEMO-EDU school + 5 campuses + years/terms/settings; permission catalog + ROLE_GRANTS","47 users + school/campuses/academic years/terms/settings + Permission catalog + RolePermission grants","Permission catalog + ROLE_GRANTS (counsellor/administrative_officer/nurse grants absent)","Deterministic DEMO_PASSWORD","No","No","Yes (--allow-prod)","UNSAFE as five-role-only: creates 47 users + school structure + permission/role-grant catalog (configuration mutation) for only 2 of 5 classes of roles",YES (delete DEMO-EDU records),Yes,Yes (seeded docs),YES
"demo_seed seed_support_staff (part 2)",STAFF only (all 50 support staff regardless of designation; Security Guard + Nurse designations get STAFF role, NOT GUARD/NURSE),"DEMO-EDU, 10 per campus","50 users + StaffProfile rows","None beyond part1 catalog","Deterministic DEMO_PASSWORD","No","No","Yes (--allow-prod)","UNSAFE for five-role-only (wrong roles; over-provisions; part 2 also seeds 50 teachers + 350 parents + 500 students)",YES,Yes,Yes,YES
create_demo_users (management command),SUPER_ADMIN ADMIN ACADEMIC ACCOUNTANT TEACHER STUDENT STAFF PARENT (8 users, not five-role),"School ""Demo School"" (auto-create if absent); links to first unlinked Teacher/Student/Guardian profiles","8 users + membership + role assignments + optional links","None explicit (superadmin role)",Hardcoded plaintext demo passwords in source (deterministic dev creds); only set at creation,NO (idempotent; --reset deletes only these 8 usernames),No,Yes if pointed at prod DB,No hardcoded; --reset flag deletes 8 named users,UNSAFE for five-role (wrong role set; hardcoded creds; --reset destructive-flag scope narrow but present),YES,Yes,Yes,NO if never run in prod
ensure_superuser (management command),SUPER_ADMIN only,Platform wide (enforced single super_admin; demotes other super_admin holders to admin),1 superuser + membership + super_admin role,None,Env-only (DJANGO_SUPERUSER_EMAIL/PASSWORD; make_password every run - also rotation),No,Yes (DJANGO_SUPERUSER_PASSWORD),Yes (run against prod DB),"SAFE as a superuser bootstrap; does NOT create any of the five roles",YES (reverse via migration 0014 / delete; demotion side-effect reversible only manually),Yes (migration 0014 env bootstrap),Yes,NO
seed_staff (management command),"NO User accounts created (StaffProfile rows only)","Every active campus, incl. production","StaffProfile rows only (designations incl. Security Guard Nurse Librarian Counsellor Admin Officer)","None","N/A - no accounts","No","No","Yes","SAFE in account terms (creates no logins) but does not provision any five-role account",YES (delete StaffProfile rows),Yes (historical phase57 repair context),Yes,N/A (not an account mechanism)
seed_all (orchestrator),"Users only via create_demo_users (8 users, none five-role)","DEMO School + all seed apps","create_demo_users + 17 other seeds (students 50, staff 15, attendance, finance, exams, library, transport, inventory, communication, events, hr, payroll, parent demo)","None","Hardcoded demo creds (via create_demo_users)",NO,"No","Yes if prod","UNSAFE for five-role (wrong roles + broad seed)","YES (delete records; no cleanup command)",Yes,Yes,NO (dev aggregator)
"POST /api/staff/ (StaffProfileCRUDSerializer, create_account defaults True)",ALL FIVE ROLES via role_for_designation: counsellor guard nurse administrative_officer librarian (+ generic staff; + admin-class roles via other designations),Active institution via request.institution, then staff.institution, then first active school; campus-scoped by primary_campus,1 StaffProfile + 1 User + InstitutionMembership + 1 RoleAssignment (exact intended role),None (role assignment only; no permission grants),Secure random 14-char temp password (must_change_password=True default); returned exactly once via generated_password field; never logged,YES (IsAdminOrReadOnly: super_admin admin principal vice_principal campus_admin academic),No (HTTP session auth; CSRF token required) ,No (HTTP API to live backend),SAFE - existing legitimate admin-gated primitive; covers all five roles without any authorization change,YES (delete StaffProfile then User; RoleAssignment/membership cascade or admin),YES (accounts created historically via this path - e.g. accountant, guard, librarian repairs),via test_regressions.py designations, source docs,PARTIAL (requires owner-provided/authorized admin session or admin action)
"create_user_with_username() service primitive",Any single role (caller-specified; used by serializer for all five roles),Per-institution unique username; institution-bound,Single User row (username/email/first/last/institution/role via caller),None,Secure random temp password when none; must_change_password default True when generated,NO (internal service),No,Yes (only from a live backend process) ,SAFE - core building block; no auth changes,YES,YES (phase57/create_accountant used this style),YES (docstring + tests),YES (should be wrapped in a dedicated command)
provision_school_with_admin / provision_campus_with_admin,ADMIN / CAMPUS_ADMIN only (not five-role),New school / new campus bound admin,NEW School + SchoolSettings + admin User + membership + role,None,Secure temp or supplied password; returned once,YES (IsSuperAdmin / IsPlatformAdmin endpoints),No,Through API (no direct DB),SAFE (transactional, audited, rollback tested) but not five-role,YES (delete school/campus),YES (school admin provisioning feature),YES,NO
