Gate,Requirement,Status,Blocking Reason,Evidence,Owner Action
G1,Source baseline,READY,Repository accessible; branch master; HEAD 7357c18; working tree clean; Phase 84 implementation verified,NONE,NONE
G2,Deployment platform identified,READY,Platform: Vercel (frontend) + Render (backend) documented in docs/deployment.md; vercel.json, render.yaml present,NONE,NONE
G3,Authorized deployment access,BLOCKED,"No Vercel CLI access (PowerShell execution policy blocks vercel.ps1); no Vercel dashboard access; no VERCEL_TOKEN; no Render dashboard access; no Render API token",BR-005: No authorized Vercel/Render/GitHub deployment credentials available. HEAD 7357c18 cannot be deployed to production.,Provide authorized Vercel/Render/GitHub deployment access (Vercel token + fixed PowerShell policy, or Render dashboard access, or GitHub push capability)
G4,GitHub/CI access,BLOCKED,No GitHub push credentials/SSH keys; .github/workflows/ empty (no CI/CD pipeline),BR-005: No GitHub push capability or CI/CD pipeline to trigger deployment.,Provide GitHub push credentials or configure CI/CD pipeline for auto-deploy on push to master
G5,Production target identified,READY,Production frontend: Vercel; Production backend: Render; Database: Neon PostgreSQL (documented in deployment.md),NONE,NONE
G6,Migration path,BLOCKED,Migration 0016_alter_role_choices.py exists; would be applied via Render startup.sh on deploy; but deployment access BLOCKED prevents execution/verification,BR-008: Cannot execute or verify migration 0016_alter_role_choices because deployment access is blocked.,Deploy application first; migration will run automatically via Render startup.sh
G7,Production verification,BLOCKED,Cannot reach production endpoints; /api/health/ and /api/deploy-test/ not accessible; cannot verify deployed revision or migration state,BR-009: No production verification access because deployment is blocked.,Deploy application first; then verify /api/health/, /api/deploy-test/, migration status, and role enum
G8,Counsellor account,BLOCKED,No legitimate counsellor test account exists; no session fixture in P43_SESSIONS_DIR; no documented account in Phase 83,BR-010: No legitimate counsellor test account or authorized provisioning path is available.,System owner must provide or authorize creation of a counsellor test account through the application's supported admin workflow
G9,Guard account,BLOCKED,No legitimate guard test account exists; no session fixture in P43_SESSIONS_DIR; no documented account in Phase 83,BR-011: No legitimate guard test account or authorized provisioning path is available.,System owner must provide or authorize creation of a guard test account through the application's supported admin workflow
G10,Nurse account,BLOCKED,Historical account SA-EMP-0002 documented (Phase 57) but requires school_code; sa_nurse_inst4.txt is invalid placeholder; no valid session fixture,BR-012: No legitimate nurse test account with valid credentials is available.,System owner must provide or authorize creation of a nurse test account with valid credentials
G11,Administrative Officer account,BLOCKED,Historical account SA-EMP-00041 documented (Phase 57) but historically forced to "staff"; no valid session fixture,BR-013: No legitimate administrative officer test account with valid credentials is available.,System owner must provide or authorize creation of an administrative_officer test account
G12,Librarian account,BLOCKED,Historical account SA-EMP-00011 documented (Phase 55/57) but no valid session fixture; sa_librarian.txt is invalid placeholder,BR-014: No legitimate librarian test account with valid credentials is available.,System owner must provide or authorize creation of a librarian test account
G13,Authentication testability,BLOCKED,No legitimate accounts/sessions for any of the five roles; cannot exercise normal login flow,BR-015: Cannot test authentication because no legitimate test accounts exist and deployment is blocked.,Provide legitimate test accounts after deployment
G14,Authorization testability,BLOCKED,No deployed application to test; no authenticated sessions to exercise backend/frontend guards,BR-016: Cannot test authorization without deployed application and authenticated sessions.,Deploy application and provision legitimate test accounts first
G15,Evidence capture,READY,Evidence capture mechanism ready (markdown, CSV, machine summary); can capture deployment IDs, revision identifiers, HTTP responses, identity responses, route results, module access results, timestamps,NONE,NONE
