gate,status,basis
SOURCE_BASELINE,READY,"HEAD e59c180 committed; clean worktree (only deliverables untracked); Phase 84 baseline 7357c18 ancestor"
MIGRATION_IDENTITY,UNKNOWN,"accounts 0028 identity NOT_IDENTIFIED; exhaustive git history shows no accounts 0028 ever authored/committed/deleted"
MODEL_MIGRATION_DRIFT,BLOCKED,"PENDING_MODEL_CHANGES; makemigrations --check exit 1 (2 AlterField role choices ops); deterministic; choices-metadata only, no Postgres DDL"
TARGET_MIGRATION_STATE,UNKNOWN,"no authorized read-only target-DB access; health probe proves connectivity only"
DATABASE_CONNECTIVITY,READY,"live health 200 {status ok, database ok true}; DB reachable"
VERCEL_PROJECT,READY,"canonical perfect-foundation-api verified: ID prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9, root backend, framework Django"
VERCEL_CONFIGURATION,READY,"production env present (names only); settings production; DSPM canonical origins; no Redis vars needed"
VERCEL_QUOTA,UNKNOWN,"not verifiable read-only; usage=404, no contract (Hobby); no deploy performed"
BACKEND_BUILD,BLOCKED,"newest deploy of fixed source (b3bj08ycv, 9s after e59c180) Error; all recent deploys Error; only 12h-old pre-fix 1kllqrz3d READY"
REPORTS_IMPORT,READY,"reports views import OK; REPORT_VIEW_MAP=25; URLs load; django check PASS"
CACHE,READY,"no Redis required; LocMemCache fallback scripted (base.py:308-313); django_ratelimit disabled"
FIVE_ROLE_DEFINITIONS,READY,"all 5 roles defined in models.py Role enum; protected files 0 changes"
FIVE_ROLE_ACCOUNT_PATH,BLOCKED,"only librarian/guard provisionable (demo_seed); counsellor/administrative_officer/nurse no path; no accounts exist"
AUTHORIZATION_ARCHITECTURE,READY,"audit pass; User>InstitutionMembership>RoleAssignment>RolePermission, campus scope, role rank intact"
PRODUCTION_SAFETY,BLOCKED,"no deploy executed; live build predates reports fix; TARGET_MIGRATION_STATE and VERCEL_QUOTA UNKNOWN; cannot certify ready"
OVERALL,BLOCKED,"verified blockers: BACKEND_BUILD, MODEL_MIGRATION_DRIFT, FIVE_ROLE_ACCOUNT_PATH, PRODUCTION_SAFETY; unknowns 2/4/8 not collapsed"
