GATE,STATUS,EVIDENCE,BLOCKER,NEXT ACTION
G01 CANONICAL_VERCEL_PROJECT,READY,Vercel API + CLI: perfect-foundation-api prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9; no replacement project,None,None
G02 VERCEL_ROOT_DIRECTORY,READY,Project API rootDirectory=backend,None,None
G03 ENTRYPOINT_CONFIGURATION,READY,backend/pyproject.toml [tool.vercel] removed; automatic detection restored (proven READY precedent dbb2d95),None,None
G04 WSGI_IMPORT,PASS,config.wsgi:application imports (application=WSGIHandler; handler present),None,None
G05 DJANGO_CHECK,PASS,python manage.py check exit 0 (pre-existing username-warning only),None,None
G06 REPORTS_IMPORT,PASS,REPORTS_IMPORT_OK; REPORT_VIEW_MAP present; no APIView NameError,None,None
G07 REPORTS_URLS,PASS,47 URL patterns resolve,None,None
G08 STATIC_COLLECTION,PASS,collectstatic --noinput --dry-run exit 0 (157 files),None,None
G09 CACHE_CONFIGURATION,READY,Redis via REDIS_URL/UPSTASH_REDIS_URL else LocMemCache fallback (base.py:291-312); unchanged,None,None
G10 MIGRATION_IDENTITY,UNKNOWN,SOURCE_IDENTITY=NOT_IDENTIFIED, SOURCE_PRESENT=NO (carried forward),None,None
G11 MIGRATION_EXPECTATION,UNKNOWN,EXPECTED=UNKNOWN (do not reinterpret),None,None
G12 MIGRATION_TARGET_STATE,UNKNOWN,TARGET_STATUS=UNKNOWN; no new authoritative evidence,None,None
G13 MODEL_MIGRATION_DRIFT,BLOCKED,makemigrations --check exit 1 (accounts alter roleassignment/rolepermission, choices-metadata); MOT NOT proof of 0028 identity; GATE=UNKNOWN,Drift present (not build cause),None (no 0028)
G14 FRONTEND_BACKEND_TARGET,READY,frontend/vercel.json -> perfect-foundation-api.vercel.app/api; no perfect-foundation-backend refs,None,None
G15 FIVE_ROLE_PROTECTION,READY,Protected set diff vs baseline 7357c18d EMPTY; regression identical to prior phases,None,None
G16 FIVE_ROLE_ACCOUNT_PROVISIONING,BLOCKED,GUARD/LIBRARIAN seeded paths exist; COUNSELLOR/ADMINISTRATIVE_OFFICER/NURSE no proven path,3 of 5 roles lack proven path,Do not provision
G17 WORKTREE_DIFF_REVIEW,READY,Only backend/pyproject.toml changed; committed 0e44fe4; pushed to origin/master; no residual tracked changes,None,None
G18 DEPLOYMENT_AUTHORIZATION,BLOCKED,Stage B approved only the entrypoint fix; new deployment-layer config change not authorized,New change requires owner approval,Owner decision on stale repo-root vercel.json / project rootDirectory alignment
G19 PRODUCTION_SAFETY,READY,No production migration/data/account/secret/billing change made; build-time migrate is pre-existing project setting (reported, unchanged),None,None
G20 OVERALL,BLOCKED,Entrypoint fixed and pushed but deploys fail at build-container-init/buildStep from double-rooting (repo-root vercel.json cd backend vs rootDirectory=backend),Deployment-layer config contradiction unresolved,Fresh authorization to resolve deployment-layer config then redeploy direct canonical project
