evidence_id,source,evidence_type,value,status,supports,limitations
E-001,git rev-parse HEAD + status,git_identity,"HEAD=4306570dd19fb3c4b61e6997ce21624606c97185 message='Add Phase 78 deployment identity verification and remediation plan documents' branch=master; dirty: modified e2e/test-results/.last-run.json + untracked PHASE_7x/8x deliverables",VERIFIED,Local baseline against which live deployments are compared,Only local snapshot at investigation time
E-002,local file .vercel/project.json + backend/.vercel/project.json + frontend/.vercel/project.json,vercel_project_metadata,"orgId=team_tfsvfjmV8ob1tVBJEIsNIMVy projectName=perfect-foundation-api projectId=prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9; projectName=perfect-foundation-sms projectId=prj_01w0P0HcW9BnLS6ustNxn6b6qsE3",VERIFIED,Maps repo to both Vercel projects,Does not identify which deployment is live
E-003,local file vercel.json (root),build_config,"buildCommand='python manage.py migrate --noinput && python manage.py collectstatic --noinput && echo BUILD_VERSION=20260923-05' rootDirectory=backend runtime=python3.11 buildId='phase64-deploy-<timestamp>' (frontend)",VERIFIED,Expected configured build for HEAD,Config differs from what live deployments were built with
E-004,vercel whoami,vercel_auth,"Vercel CLI 59.10.0; authenticated identity=lordvalicious(scope lordvalicious-projects)",VERIFIED,Vercel metadata inspection permitted (read-only usage only),No token/credential values captured
E-005,vercel inspect --json perfect-foundation-api.vercel.app,deployment_identity_api,"url=perfect-foundation-a37ruonxb-lordvalicious-projects.vercel.app id=dpl_DN4cuVyGznhQMrAQcPnsWWLJPVLJ state=READY target=production createdAt=1790095348315 aliases=[perfect-foundation-api.vercel.app, perfect-foundation-api-git-master-*.vercel.app]",VERIFIED,Authoritative resolution of live API alias to deployment,Deployment build digest read without exposing secrets
E-006,vercel ls --json --next perfect-foundation-api (paged),deployment_commit_api,"githubCommitSha=dbb2d95cacb83f95cb08da03e28b36e333f63a97 githubCommitMessage='Add Phase 53 final defects documentation and finance certification matrix' githubCommitRef=master repo=perfect-foundation-sms",VERIFIED,Identifies repository commit served by live API deployment,Metadata provenance is Vercel's; author email/verification deliberately not copied
E-007,git merge-base --is-ancestor dbb2d95 d540ab2,git_ordering,"dbb2d95cacb83f95cb08da03e28b36e333f63a97 IS_ANCESTOR_OF d540ab255454f9eacbd12bf250b635061e473c83",VERIFIED,Proves live API revision predates the deploy-test route commit,Assumes live deployment = commit declared by provenance metadata
E-008,fresh GET https://perfect-foundation-api.vercel.app/api/health/,live_probe_http,"HTTP 200 application/json body={'status':'ok','database':{'ok':true,'error':null}} (no deploy_version key); Server=Vercel X-Vercel-Id=bom1::iad1::mvmfk-1790220417364",VERIFIED,API healthy; absence of deploy_version consistent with revision predating commit 30fa841,Response schema comparison assumes 30fa841 is the commit that added the field
E-009,fresh GET https://perfect-foundation-api.vercel.app/api/deploy-test/,live_probe_http,"HTTP 404 text/html Server=Vercel X-Vercel-Id=bom1::iad1::8r6wb-1790220423645",VERIFIED,Live API does not expose /api/deploy-test/ (route absent in served revision),404 body is empty; no stack trace shown
E-010,vercel inspect --json perfect-foundation-sms.vercel.app,deployment_identity_frontend,"url=perfect-foundation-od2kdd726-lordvalicious-projects.vercel.app id=dpl_8WodGPTxrcczH87BY4bfFA4DoxVd state=READY target=production createdAt=1790152553913 aliases=[perfect-foundation-sms.vercel.app, perfect-foundation-sms-git-master-*.vercel.app]",VERIFIED,Authoritative resolution of live frontend alias to deployment,Limited to top-20 pagination window
E-011,vercel ls --json --next perfect-foundation-sms (paged),deployment_commit_frontend,"githubCommitSha=56e4b21b263a911884bc8f6d631ba31ddf1de917 githubCommitMessage='fix: Update backend vercel.json with rootDirectory and functions config' githubCommitRef=master",VERIFIED,Identifies repository commit served by live frontend deployment,Provenance is Vercel-provided metadata
E-012,fresh GET https://perfect-foundation-sms.vercel.app/,live_probe_http,"HTTP 200 serves index-BVKtMrNZ.js; ETag='a835a770eb7dd367d023e20f0b66356c' Last-Modified='Wed, 23 Sep 2026 10:23:30 GMT' X-Vercel-Cache=HIT Age=61180; modulepreload createLucideIcon-DBOzt3oJ.js css index-a-vuSn5S.css",VERIFIED,Frontend served asset fingerprint of live revision,CDN cache means asset may lag deployment by hours
E-013,local frontend/.vercel/output/static/assets, local_build_artifact,"Local vercel build --prod output contains index-YQrRtPCs.js (differs from live index-BVKtMrNZ.js)",VERIFIED,Local HEAD build does not match live production frontend assets,Local build reflects an un-pushed/un-deployed state
E-014,fresh GET https://perfect-foundation-sms.vercel.app/api/health/ and /api/deploy-test/,live_probe_http,"/api/health/ HTTP 200 db ok; /api/deploy-test/ HTTP 404 (both rewritten to API host)",VERIFIED,Frontend rewrites /api/* onto the stale API revision; parity with API findings,Only exercises the rewrite path, not a separate service
E-015,read backend/config/urls.py,source_inspection,"DeployTestView (lines 19-40) returns PHASE66_DEPLOYMENT_PROOF_20260923 + git HEAD when route present; health_check includes deploy_version ('63-test-3') line 65; path api/deploy-test/ line 81",VERIFIED,Documents what HEAD-based code would serve if deployed,Does not describe the deployed (older) revision
E-016,git log deployment chain,git_history,"d540ab2 adds deploy-test route; 30fa841 adds deploy version to health; 4a14028 adds PHASE66 marker; 4112ad5 removes backend/vercel.json; 4306570 = current HEAD",VERIFIED,Chronology showing live deployments predate route/marker/version commits,Ordinal, not timestamp, evidence
E-017,vercel ls --json paged (both projects),deployment_status_history,"Latest production attempts for HEAD (API b8vrnlmfa, frontend b2xj976mu, ~5h old) state=ERROR; aliases pinned to last READY deployments (E-005/E-010)",VERIFIED,Explains why aliases remain on older READY revisions,ERROR root cause not investigated (read-only scope)
E-018,synthesis of E-005..E-011,classification,"DEPLOYMENT_IDENTITY_STATUS=MISMATCH_PROVEN; DEPLOY_TEST_404_CLASSIFICATION=STALE_DEPLOYMENT_PREDATES_ROUTE",DERIVED,Resolves R73-P0-001 blocker with concrete deployment ids and commits,Based on Vercel metadata + ancestor proof, not byte-level artifact diff
