PHASE 77.1 - PART 3: MODULE RECONCILIATION
============================================
Phase: 77.1
Date: 2026-09-24
Method: READ-ONLY. Every module in PHASE_77_MODULE_DEEP_AUDIT.csv (MOD-01..34) reconciled against source: backend app(s), frontend page(s), API prefix, model presence, test presence (files+historical logs), mutation requirement. Phase 75 listed 21 modules; Phase 77 audited 34 (deeper granularity). Reconciled truth = 34 modules.

Columns:
module_id | module | backend_apps | frontend_pages | api_prefix | declared_models_class_count | test_files | historical_pytest | phase77_status | reconciled_status | mutation_required | verified_live_evidence | notes

======================================================================
MODULE RECONCILIATION
======================================================================

MOD-01|Authentication & Accounts|accounts|LoginPage, SettingsPage, TwoFASection, VerifyEmailPage, ProfilePage|/api/auth/, /api/staff/|17 models|14 files, 307 OK (252+55)|pytest_accounts 252 OK; pytest_access 55 OK|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED (strongest-tested)|no|/api/health/ 200 only (not auth paths)|All role/auth tests green historically

MOD-02|Dashboard|dashboard, core|Dashboard, ExecutiveDashboardPage, CampusDashboardPage, HealthPage|/api/dashboard/, /api/health/|0 concrete models|2 files, 43 OK|pytest_dashboard 43 OK|READ_ONLY_PROVEN (/api/health/); rest AUTH_TEST_BLOCKED|READ_ONLY_PROVEN (health only); rest AUTH_TEST_BLOCKED|no|/api/health/ 200 db ok both hosts|ONLY module with live production evidence

MOD-03|Students & Admissions|students, alumni|StudentsPage, Student360Page, AdmissionsPage, AdmissionsApplyPage, AlumniPage, ProfilePage|/api/students/, /api/alumni/|17 models|6+1 files, 39 OK|pytest_students 39 OK (1 skip)|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|transfer/graduation/withdraw doc-serve/TC-issue|none|Mutation workflows blocked

MOD-04|Teachers|teachers|TeachersPage, AssignmentsPage, ProfilePage|/api/teachers/|2 models|1+ (in accounts regressions)|historical teacher harness error (TPR-012) resolved; tests present in accounts|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|assignments|none|-

MOD-05|Attendance|attendance, accounts(StaffAttendance)|AttendancePage, StaffOperationsPage|/api/attendance/, /api/staff/|5 models|1+ (accounts staff tests)|covered under pytest_access/accounts|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|mark/bulk/corrections|none|-

MOD-06|Finance & Payments|finance|FinancePage, BulkFinancePage, StudentFeesPage|/api/finance/|21 models|2 files, 64 OK|pytest_finance 64 OK|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|payments/invoices/journal/budget/late-fee|certification none|gateways need live creds

MOD-07|Exams & Results|exams|ExamsPage, MarksEntryPanel, Manage*Panels, ExamFormModal|/api/exams/|7 models|6 files, 74 OK after rerun|pytest_exams 74 (1 flaky 403!=400) -> pytest_exams2 74 OK|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|marks entry/results/amendments|none|1 flaky reran green; no persistent defect

MOD-08|Report Cards|reportcards, exams(grades)|ReportCardsPage|/api/report-cards/|5 models|3 files, 21 OK|pytest_reportcards 21 OK|AUTH_TEST_BLOCKED|AUTH_TEST_BLOCKED|publish/lock|none|-

