PHASE 77 - STEP 1: COMPLETE FUNCTION INVENTORY
===============================================
Phase: 77
Date: 2026-09-24
Environment: READ-ONLY code audit. NO production mutations. NO browser automation available. NO Vercel dashboard access.
Method: Static inspection of backend/apps/* (37 apps), backend/config/urls.py, frontend/src (58 pages, 13 components, 14 utility modules), test files, prior-phase artifacts (PHASE_73/75/76).
Status taxonomy (Phase 75/76 rules): WORKING_PROVEN | READ_ONLY_PROVEN | IMPLEMENTED_UNVERIFIED | AUTH_TEST_BLOCKED | MUTATION_BLOCKED | DEPLOYMENT_UNVERIFIED | BROKEN | NOT_APPLICABLE.
Overall_status = highest defensible label; IMPLEMENTED_UNVERIFIED is default for source-complete features whose production operation is unproven; AUTH_TEST_BLOCKED noted where authentication is the only blocker; MUTATION_BLOCKED where feature requires production data write with no authorized path.
Roles: 18 canonical roles from backend/apps/accounts/models.py Role enum (super_admin, org_admin, head_office, admin, principal, vice_principal, campus_admin, academic, accountant, hr, receptionist, librarian, guard, nurse, teacher, parent, student, staff).

Columns:
id | module | category | name | purpose | frontend | backend | api | roles | implemented | implemented_correctly | test_coverage | integrated | production_status | overall_status | evidence | notes

======================================================================
FUNCTION INVENTORY
======================================================================

FUNC-0001|AUTH|Authentication|Login / session establishment|Authenticate username+password (session cookie) with optional OTP, enforce lockout, record failed logins|src/pages/LoginPage.jsx, src/auth.jsx|apps/accounts (LoginView, LoginFailedView)|POST /api/auth/login/, GET /api/auth/csrf/, GET /api/auth/me/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (LoginTests, AccountLockoutTests, FailedLoginRecordingTests)|INTEGRATED (auth.jsx csrf->login->me flow)|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Source present+tested in backend/apps/accounts; cookie-session+CSRF scheme confirmed in src/api.js & sessionWatch.js|No authenticated browser session possible in this environment (PHASE_76)

FUNC-0002|AUTH|Authentication|Logout / session termination|End session, revoke session record|src/auth.jsx|apps/accounts (LogoutView)|POST /api/auth/logout/|ALL|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (SessionManagementTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|Registered in apps/accounts/urls.py|Rely on authenticated flow

FUNC-0003|AUTH|Authentication|Account lockout & admin unlock|Lock account after failed attempts; admin unlock endpoint|src/pages/TwoFASection.jsx, SettingsPage|apps/accounts (AccountLockoutStatusView, AdminUnlockAccountView, FailedLoginAttempt model)|GET /api/auth/lockout/status/, POST /api/auth/admin/unlock/{user_id}/|super_admin,admin,org_admin,head_office|IMPLEMENTED|IMPLEMENTED_CORRECTLY|UNIT_TESTED (AccountLockoutTests, LockoutStatusTests, AdminUnlockTests, LockoutBackendTests)|INTEGRATED|PRODUCTION_UNVERIFIED|AUTH_TEST_BLOCKED|FailedLoginAttempt model + lockout backend present|Also GoogleSsoLockoutTests

