PHASE 77.1 - PART 1: COUNT RECONCILIATION
===========================================
Phase: 77.1
Date: 2026-09-24
Method: READ-ONLY re-derivation of every Phase 77 headline count from filesystem/source evidence (PowerShell enumeration, regex over source files, live GET). No test execution, no production mutation, no redeploy.
Rule: previous_value = number printed in Phase 77 artifacts; current_value = independently re-measured during Phase 77.1; reconciled_value = the value used in PHASE_77_1 truth report (based on current measurement).

Columns:
metric | previous_value | current_value | source | definition | reconciled_value | reason_for_difference | confidence

======================================================================
COUNT RECONCILIATION
======================================================================

BACKEND_APPS|37|37|Get-ChildItem backend/apps -Directory (excl __pycache__); verified this session|Application directories under backend/apps, including shared tests harness|37|No difference|HIGH

FRONTEND_PAGES|58|58|Enumeration of frontend/src/pages ending in Page.jsx or Dashboard.jsx (72 dir files - 14 non-page files)|Dedicated route/page components in frontend/src/pages|58|No difference|HIGH

FRONTEND_PAGES_DIR_TOTAL_FILES|72|72|Get-ChildItem frontend/src/pages|All files in pages dir|72|No difference|HIGH

FRONTEND_NON_PAGE_FILES_IN_PAGES_DIR|14|14|Named exclusion (demoReports.js, ExamFormModal.jsx, format.js, ManageSchedulePanel.jsx, ManageSeatingPanel.jsx, ManageSubjectsPanel.jsx, MarksEntryPanel.jsx, NotificationsPanel.jsx, ProfileModal.jsx, SingleDetailReports.jsx, StudentLifecyclePanel.jsx, TwoFASection.jsx, ui.jsx, useApiList.js)|Utility/panel/modal modules stored alongside pages|14|No difference|HIGH

FRONTEND_COMPONENTS|13|13|Enumeration of frontend/src/components (ApprovalCard, ApprovalDecisionModal, CredentialDisplay, ErrorBoundary, LanguageToggle, Modal, PermissionGate, WorkflowApprovalSteps, WorkflowDefinitionForm, WorkflowDefinitionList, WorkflowDefinitionTestModal, WorkflowStateCard, WorkflowTimeline)|Shared component files|13|No difference|HIGH

BACKEND_TEST_FILES|71|71|counter of test*.py across backend/apps/* (incl apps/tests/test_tenant_isolation.py) computed this session|Test modules (tests.py or test_*.py) present in app directories|71|No difference|HIGH

APPS_WITH_TEST_FILES|30 of 37|30 of 37|Per-app test-file count this session|Apps containing at least one test*.py|30 of 37|No difference|HIGH

APPS_WITHOUT_TEST_FILES|7 (discipline, documents, health, homework, lms, search, transport)|7 (discipline, documents, health, homework, lms, search, transport)|Test-Path per app this session (matches TPR-009)|Apps with zero test*.py|7|No difference|HIGH

FRONTEND_TEST_FILES|0|0|glob frontend/**/*.{test,spec}.* returned nothing (Phase 77 + reconfirmed)|Automated FE test files|0|No difference|HIGH

CANONICAL_BACKEND_ROLES|18|18|backend/apps/accounts/models.py Role enum, lines 11-29 read this session|Roles in Role.TextChoices|18 (super_admin, org_admin, head_office, admin, principal, vice_principal, campus_admin, academic, accountant, hr, receptionist, librarian, guard, nurse, teacher, parent, student, staff)|No difference|HIGH

ROLE_RANK_ENTRIES|18|18|accounts/models.py ROLE_RANK lines 34-50 read this session|Entries in ROLE_RANK hierarchy dict|18|No difference|HIGH

