GATE,STATUS,EVIDENCE,BLOCKER,NEXT ACTION
G01 CANONICAL_VERCEL_PROJECT,READY,Vercel API + project settings: perfect-foundation-api prj_RP5IoqTXfXDkP3AeI3UxwgkspUN9 org team_tfsvfjmV8ob1tVBJEIsNIMVy,None,None
G02 VERCEL_ROOT_DIRECTORY,READY,Vercel API project settings rootDirectory=backend,None,None
G03 ENTRYPOINT_CONFIGURATION,BLOCKED,backend/pyproject.toml has [tool.vercel] entrypoint = "backend/config/wsgi.py" which misresolves under rootDirectory=backend to backend/backend/config/wsgi.py (nonexistent),Invalid entrypoint override present,Stage B: remove [tool.vercel] override (or set config.wsgi:application) after owner approval
G04 WSGI_IMPORT,PASS,config.wsgi:application imports from backend root successfully (application=WSGIHandler; handler present),None,None
G05 DJANGO_CHECK,PASS,python manage.py check exit 0 (pre-existing non-unique username warning only),None,None
G06 REPORTS_IMPORT,PASS,from apps.reports import views OK; REPORT_VIEW_MAP present; no APIView NameError,None,None
G07 REPORTS_URLS,PASS,47 URL patterns resolve; urls module imports,None,None
G08 STATIC_COLLECTION,PASS,collectstatic --noinput --dry-run exit 0; 157 files,None,None
G09 CACHE_CONFIGURATION,READY,base.py:291-312 Redis if REDIS_URL/UPSTASH_REDIS_URL else LocMemCache fallback; unchanged,None,None
G10 MIGRATION_IDENTITY,UNKNOWN,SOURCE_IDENTITY=NOT_IDENTIFIED, SOURCE_PRESENT=NO (carried forward),None,None
G11 MIGRATION_EXPECTATION,UNKNOWN,EXPECTED=UNKNOWN per directive (do not interpret drift as expectation),None,None
G12 MIGRATION_TARGET_STATE,UNKNOWN,TARGET_STATUS=UNKNOWN; no authoritative read-only production evidence,None,None
G13 MODEL_MIGRATION_DRIFT,BLOCKED,makemigrations --check exit 1: accounts 0028 alter roleassignment/rolepermission role (choices-metadata only); NOT proof of migration 0028 identity; GATE=UNKNOWN,Drift present but not build cause,None (do NOT create migration 0028)
G14 FRONTEND_BACKEND_TARGET,READY,frontend/vercel.json rewrites /api -> https://perfect-foundation-api.vercel.app/api; no perfect-foundation-backend refs,None,None
G15 FIVE_ROLE_PROTECTION,READY,Protected baseline 7357c18d ancestor of HEAD; git diff baseline..HEAD for five-role protected set + App.jsx is EMPTY,None,None
G16 FIVE_ROLE_ACCOUNT_PROVISIONING,BLOCKED,GUARD and LIBRARIAN have seed provisioning paths; COUNSELLOR/ADMINISTRATIVE_OFFICER/NURSE no proven path,3 of 5 roles lack proven provisioning path,Do not provision in this phase; track separately
G17 WORKTREE_DIFF_REVIEW,READY,Zero tracked modifications; only untracked phase deliverables present,None,None
G18 DEPLOYMENT_AUTHORIZATION,WAITING_FOR_OWNER_CONFIRMATION,Stage A complete; Stage B requires a NEW explicit owner instruction,Owner approval required,Owner authorizes Stage B explicitly
G19 PRODUCTION_SAFETY,READY,No production migrations/data change/secret exposure/billing or project changes; entrypoint fix has no runtime data impact,None,None
G20 OVERALL,BLOCKED,Build failure conclusively diagnosed and remediation minimized; execution not yet authorized,Source correction not applied + no owner approval,Owner review and Stage B approval
