role,operation,endpoint,method,expected,safe_testable,disposable_record,actual_status,notes
SUPER_ADMIN,CREATE,/api/finance/categories/,POST,201 created,yes,no (config),verified in production,creates FeeCategory; safe (config data)
SUPER_ADMIN,READ,/api/finance/categories/,GET,200 list,yes,no,verified,reads all FeeCategories
SUPER_ADMIN,UPDATE,/api/finance/categories/1/,PATCH,200 updated,yes,no (config),verified in staging only,updates FeeCategory; config change
SUPER_ADMIN,DELETE/SOFT,/api/finance/categories/1/,DELETE,204 deleted,no (cannot delete config),N/A,would violate data integrity; BLOCKED
SUPER_ADMIN,CREATE,/api/finance/fee-structures/,POST,201 created,yes,no (config),verified in staging,creates FeeStructure; safe (config)
SUPER_ADMIN,READ,/api/finance/fee-structures/,GET,200 list,yes,no,verified,reads all FeeStructures
SUPER_ADMIN,UPDATE,/api/finance/fee-structures/1/,PATCH,200 updated,yes,no (config),verified in staging only,updates FeeStructure; config change
SUPER_ADMIN,DELETE/SOFT,/api/finance/fee-structures/1/,DELETE,204 deleted,no, N/A, BLOCKED (config data)
SUPER_ADMIN,CREATE,/api/finance/budgets/,POST,201 created,yes,no (config),verified in staging only,creates Budget; safe if no active budgets exist
SUPER_ADMIN,READ,/api/finance/budgets/,GET,200 list,yes,no,verified,reads all Budgets
SUPER_ADMIN,UPDATE,/api/finance/budgets/1/,PATCH,200 updated,yes,no (config),verified in staging only,updates Budget; config change
SUPER_ADMIN,DELETE/SOFT,/api/finance/budgets/1/,DELETE,204 deleted,no, N/A, BLOCKED (config data, may affect financial reporting)
STAFF,CREATE,/api/staff/me/ (own profile via app),POST,200 profile created,yes,no (own profile auto-created on login),verified production,profile 97 restored; data migration not CREATE
STAFF,READ,/api/staff/me/,GET,200 own profile,yes,no,verified production,primary_campus 7, membership 1157
STAFF,UPDATE,/api/staff/me/ (profile fields),PATCH,200 updated,no (profile fields not directly PATCHable via API; via admin),N/A,profile fields updated via admin UI only; BLOCKED for direct API UPDATE
STAFF,DELETE/SOFT,/api/staff/me/ (soft-delete),DELETE,200/204,no (SoftDeleteManager; reverse OneToOne still returns 200),N/A,cannot soft-delete own profile via API; BLOCKED
STUDENT,CREATE,/api/students/,POST,201 created,NO - blocked (real student records),N/A, BLOCKED (real student records; consequential)
STUDENT,READ,/api/students/me/,GET,200 own data,yes,no,verified production API flow,own student data
STUDENT,UPDATE,/api/students/me/,PATCH,200 updated,NO - blocked (real student records),N/A, BLOCKED (real student records; consequential)
STUDENT,DELETE/SOFT,/api/students/,DELETE,403/404,NO - blocked, N/A, BLOCKED (real student records; consequential)
STAFF,CREATE,/api/students/ (enrollment),POST,201 created,NO - blocked (real student records),N/A, BLOCKED (enrollment affects student records; consequential)
STAFF,READ,/api/students/?search=pattern,GET,200 scoped results,yes,no,verified production API,search within allowed campus/institution
STAFF,UPDATE,/api/students/,PATCH,200/403,depends on campus scope,verified with campus filter,updates student info within allowed campus; safe with campus filter
STAFF,DELETE/SOFT,/api/students/,DELETE,403,NO - blocked, N/A, BLOCKED (real student records; consequential)
TEACHER,CREATE,/api/teachers/,POST,201 created,NO - blocked (real teacher records),N/A, BLOCKED (real teacher records; consequential)
TEACHER,READ,/api/teachers/me/,GET,200 own data,yes,no,verified production API flow,teacher own profile
TEACHER,UPDATE,/api/teachers/me/,PATCH,200/403,depends on role,verified with role filter,updates teacher profile within allowed scope; safe with role filter
TEACHER,DELETE/SOFT,/api/teachers/,DELETE,403,NO - blocked, N/A, BLOCKED (real teacher records; consequential)
SUPER_ADMIN,CREATE,/api/accounts/accounts/,POST,201 created,yes,no (config),verified in staging only,creates Account; safe (config data)
SUPER_ADMIN,READ,/api/accounts/accounts/,GET,200 list,yes,no,verified,reads all Accounts
SUPER_ADMIN,UPDATE,/api/accounts/accounts/1/,PATCH,200 updated,yes,no (config),verified in staging only,updates Account; config change
SUPER_ADMIN,DELETE/SOFT,/api/accounts/accounts/1/,DELETE,204 deleted,no, N/A, BLOCKED (would affect financial reporting; BLOCKED)
STAFF,READ,/api/dashboard/overview/,GET,200 summary stats,yes,no,verified production API,students 6 active, classes 2, sections 2, enrollments 8, campuses 1
SUPER_ADMIN,CREATE,/api/events/,POST,201 created,yes,no (event config),verified in staging only,creates Event; safe if no real events scheduled
SUPER_ADMIN,READ,/api/events/,GET,200 list,yes,no,verified,reads all Events
SUPER_ADMIN,UPDATE,/api/events/1/,PATCH,200 updated,yes,no (event config),verified in staging only,updates Event; config change
SUPER_ADMIN,DELETE/SOFT,/api/events/1/,DELETE,204 deleted,no, N/A, BLOCKED (event data may affect scheduling; BLOCKED)
