role,canonical_role,documented_account,credential_available,auth_state_available,authentication_tested,authentication_result,production_read_only_ready,evidence
super_admin,super_admin,DOCUMENTED_ACCOUNT,SECRET_PRESENT_NOT_EXPOSED,NO,YES,FAILED_403_session_invalid,NO,"e2e/README.md sa_frostfire.txt; sa_frostfire_di.txt (sessionid present but server-side invalid; /api/auth/me/ 403); PHASE_57 FrostFire; docs/audit/SECURITY_AUDIT.md R-01 hardcoded superadmin (SECRET_PRESENT_NOT_EXPOSED, NOT used)"
org_admin,org_admin,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No account/session reference in PHASE_57/58-65/75/77 artifacts"
head_office,head_office,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No account/session reference found"
admin,admin,DOCUMENTED_ACCOUNT,NO,NO,YES,FAILED_400_login_rejected,NO,"LoginPage.jsx:239 demo admin/Admin123! (tested -> POST /api/auth/login/ 400 'Unable to sign in'); sa_flora.txt (csrftoken only); PHASE_57 Flora"
principal,principal,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_57 ROLE_AUTH_SESSION_MATRIX: ADMIN=Flora auth_me_role=principal (identifier documented; no usable session)"
vice_principal,vice_principal,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No account/session reference found"
campus_admin,campus_admin,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No account/session reference found"
academic,academic,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No account/session reference found"
accountant,accountant,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_57 ACCOUNTANT=DEG-EMP-00031; sa_accountant.txt (invalid placeholder, 1-field lines); PHASE_65 accountant row (cannot certify)"
hr,hr,UNKNOWN,NO,NO,NO,NOT_ATTEMPTED,NO,"sa_hr.txt invalid placeholder; PHASE_65 hr row (payroll status unclear); no documented username identifier"
receptionist,receptionist,UNKNOWN,NO,NO,NO,NOT_ATTEMPTED,NO,"sa_receptionist.txt invalid placeholder; PHASE_65 receptionist row; no documented username identifier"
librarian,librarian,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_55/57 LIBRARIAN=SA-EMP-00011; sa_librarian.txt invalid placeholder; PHASE_65 librarian row"
guard,guard,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_57 GUARD=SA-EMP-00031; sa_guard.txt invalid placeholder; PHASE_65 guard row"
nurse,nurse,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_57 NURSE=SA-EMP-0002 (login requires school_code; 400 without); sa_nurse_inst4.txt invalid placeholder"
teacher,teacher,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_31/37/57 TEACHER=SA-EMP-0001 (also SA-EMP-0003/0004); sa_SA-EMP-0001.txt (csrftoken only); login-page demo teacher hint (unused)"
parent,parent,NO_DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"No parent-role account/session reference found (only student refs like PF-20262027-0121)"
student,student,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_31/37/57 STUDENT=SA-ST-0001 (also SA-ST-0002/0003); sa_SA-ST-0001.txt (csrftoken only); login-page demo student hint (unused)"
staff,staff,DOCUMENTED_ACCOUNT,NO,NO,NO,NOT_ATTEMPTED,NO,"PHASE_57 STAFF=DI-EMP-0001; sa_DI-staff.txt (csrftoken only, temp dir)"
