role,module_accessible,endpoint_status,authorization,certification_notes,deployment_required
librarian,library,/api/library/*,404,Library endpoints not deployed; cannot certify,YES — deployment must fix /api/library/ before certification
accountant,reports,/api/reports/library/*,403/404,Reports return 403/404; cannot certify,YES — deployment must fix /api/reports/ before certification
guard,visitors,/api/visitors/*,404,Visitors not deployed; cannot certify,YES — deployment must fix /api/visitors/ before certification
admin_officer,staff,/api/staff/*,unknown,Deployment blocker prevents status verification,YES — deployment must fix before any certification
nurse,health-records,/api/health-records/*,unknown,Deployment blocker prevents verification; code fix D-005 exists but not deployed,YES — deployment must fix before certification
hr,payroll,/api/payroll/*,unknown,Payroll module status unclear; deployment blocker,YES — deployment must fix before certification
receptionist,visitors,/api/visitors/*,404,Visitors not deployed; cannot certify,YES — deployment must fix before certification
transport,transport,/api/transport/*,unknown,Transport module not confirmed deployed,YES — deployment must confirm module exists before certification
inventory,inventory,/api/inventory/*,unknown,Inventory module not confirmed deployed,YES — deployment must confirm module exists before certification
hostel,hostel,/api/hostel/*,unknown,Hostel module not confirmed deployed,YES — deployment must confirm module exists before certification
driver,driver,/api/driver/*,unknown,Driver module not confirmed deployed,YES — deployment must confirm module exists before certification
driver_security,discipline,/api/discipline/*,unknown,Discipline module not confirmed deployed,YES — deployment must confirm module exists before certification
